gene_symbol	ICM_1_FPKM	ICM_2_FPKM	ICM_3_FPKM	TE_1_FPKM	TE_2_FPKM	TE_3_FPKM
CALML6	0.0	0.0	0.0	0.0	0.0	0.0
TMEM52	3.394257	2.877476	3.117707	6.064173	6.230202	4.869016
KIAA1751	0.0	0.0	0.0	0.0	0.0	0.0
GABRD	0.0	0.0	0.0	0.269659	0.0	0.0
PRKCZ	0.008992	2.770944	5.329043	2.587816	4.842195	6.216235
C1orf86	3.300313	2.796801	2.030084	1.315327	2.137297	8.412344
SKI	1.330503	1.392928	2.88862	1.184481	2.410706	2.535172
MORN1	0.145343	0.226297	0.07674	0.597574	0.629289	0.405199
LOC100129534	0.0	0.0	0.0	0.0	0.0	0.571196
RER1	33.758018	44.618408	39.256161	39.742413	36.018337	38.801708
PEX10	0.992705	0.0	3.883412	0.0	4.607777	3.662755
PLCH2	0.0	0.0	0.0	0.0	0.0	0.0
PANK4	0.536874	0.424848	0.299386	0.240062	1.220088	2.095782
HES5	0.083115	0.0	0.0	0.0	0.0	0.0
LOC115110	0.0	0.0	0.0	0.0	0.0	0.0
LOC100133445	0.0	0.0	0.0	0.0	0.0	0.0
TNFRSF14	0.0	0.0	0.0	0.0	0.0	0.0
FAM213B	0.0	0.0	0.0	0.0	0.0	0.0
MMEL1	0.0	0.0	0.0	0.0	0.0	0.0
TTC34	0.0	0.0	0.0	0.0	0.0	0.0
ACTRT2	0.0	0.0	0.0	0.0	0.0	0.0
FLJ42875	0.0	0.0	0.0	0.0	0.0	0.0
PRDM16	0.0	0.130267	0.0	0.0	0.0	0.0
MIR4251	0.0	0.0	0.0	0.0	0.0	0.0
ARHGEF16	13.188966	14.491295	10.204612	10.990334	25.392988	24.185574
MEGF6	0.087551	0.047896	0.006217	0.0	0.0	0.0
MIR551A	0.0	0.0	0.0	0.0	0.0	0.0
TPRG1L	34.403275	15.310836	33.494869	12.859572	15.636881	10.487058
WRAP73	37.265903	30.389488	39.674015	14.422317	24.259462	32.865978
TP73	0.0	4.424147	0.0	0.0	0.0	0.0
TP73-AS1	0.059886	0.0	0.0	0.150583	0.0	0.052397
CCDC27	0.0	0.050157	0.0	0.0	0.0	0.0
SMIM1	0.0	5.03018	1.647468	16.07918	17.931372	11.16926
LRRC47	17.287983	16.974733	14.419844	21.226349	18.641394	13.630379
CEP104	5.084968	4.862867	3.874009	4.706544	10.208625	9.060861
DFFB	1.872835	4.571154	3.872506	6.721857	7.549078	3.886133
C1orf174	10.7201	15.069118	12.356375	13.539842	20.208073	18.060326
LOC100133612	0.0	0.0	0.0	0.0	0.13765	0.0
LOC728716	0.0	0.0	0.0	0.0	0.0	0.0
LOC284661	0.0	0.0	0.0	0.0	0.0	0.0
AJAP1	0.530138	1.225655	1.861096	2.121901	0.0	2.367929
MIR4417	0.0	0.0	0.0	0.0	0.0	0.0
MIR4689	0.0	0.0	0.0	0.0	0.0	0.0
NPHP4	1.995157	0.942925	0.512183	0.443058	0.930147	0.886487
KCNAB2	0.0	0.0	0.0	0.0	0.0	0.0
CHD5	0.0	0.067706	0.034608	0.0	0.041915	0.0
RPL22	287.498413	286.113098	238.881226	352.336182	108.676559	110.700653
RNF207	0.524619	0.029386	0.546287	1.782509	1.839751	0.964903
ICMT	44.260834	53.536961	40.659298	58.452503	82.377441	74.279137
HES3	0.0	0.0	0.0	0.0	0.0	0.0
GPR153	1.939021	0.216629	0.275641	0.082806	0.16703	0.118634
ACOT7	0.0	0.0	0.0	0.0	0.0	0.0
HES2	0.221275	1.241985	0.201861	0.747903	0.0	0.15071
ESPN	0.0	0.0	0.0	0.0	0.0	0.0
MIR4252	0.0	0.0	0.0	0.0	0.0	0.0
TNFRSF25	0.0	0.0	0.0	0.0	0.0	0.0
PLEKHG5	0.0	0.0	0.0	0.0	0.0	0.0
NOL9	10.313974	7.271799	9.778448	9.373038	5.474218	4.854616
TAS1R1	0.114801	0.0	0.0	0.918479	0.579372	0.0
ZBTB48	1.780417	0.872126	2.193832	2.250357	2.278646	8.032213
KLHL21	9.974358	14.735505	18.707258	11.105265	18.67395	24.053049
PHF13	5.04197	3.557149	6.873125	4.933283	2.858896	3.988103
THAP3	4.025918	1.874737	9.354658	3.408725	3.435442	16.120773
DNAJC11	22.50271	27.062693	36.109257	30.368364	57.14896	68.539688
CAMTA1	25.975624	10.649215	8.046896	13.788927	1.933844	4.556221
VAMP3	91.146751	72.611389	48.321636	66.22583	23.383137	22.502584
PER3	1.576162	0.680866	0.603814	1.06095	1.458185	1.028648
UTS2	0.0	0.0	0.0	0.0	0.0	0.0
TNFRSF9	0.0	0.0	0.0	0.0	0.0	0.0
PARK7	217.646011	267.484222	239.903549	241.420486	179.479202	0.145158
ERRFI1	102.5411	135.436066	160.832062	56.102379	9.141872	19.552299
SLC45A1	0.0	0.0	0.0	0.0	0.0	0.0
RERE	0.0	0.0	0.0	0.0	0.0	0.0
ENO1	3.437885	83.412285	14.518006	5.831059	903.777161	7.024008
ENO1-AS1	0.0	0.0	0.0	0.0	0.0	0.0
CA6	0.0	0.0	0.0	0.0	0.0	0.0
SLC2A7	0.0	0.0	0.0	0.0	0.0	0.0
SLC2A5	0.0	0.41371	0.468566	0.74369	0.111329	0.260688
GPR157	0.0	0.0	0.0	0.0	0.0	0.0
MIR34A	0.0	0.0	0.0	0.0	0.0	0.0
H6PD	0.13333	0.083728	0.0	0.295597	0.138601	0.106399
SPSB1	14.853964	19.283047	18.653616	5.101556	3.20349	9.996738
SLC25A33	40.453442	24.515972	14.295605	26.894314	11.898432	7.070448
TMEM201	1.330253	1.408427	1.130721	3.217512	2.70291	3.453949
PIK3CD	0.346729	0.0	0.0	0.185688	0.286157	0.0
C1orf200	0.0	0.0	0.0	0.0	0.0	0.0
CLSTN1	3.431001	6.512077	3.207902	3.440354	4.982405	2.235589
CTNNBIP1	0.0	0.0	0.0	0.0	0.0	0.0
LZIC	25.711702	25.193512	25.582369	29.285101	3.009293	6.920889
NMNAT1	1.263996	1.323849	1.002325	2.190134	0.432358	0.491282
RBP7	0.312885	0.911957	0.708947	2.254188	0.0	0.0
UBE4B	9.331906	6.26344	0.0	0.0	6.394466	6.383459
KIF1B	1.655816	0.354443	0.950536	1.634419	0.484642	0.368071
PGD	102.973389	119.299278	119.647926	139.82637	191.470078	135.603531
APITD1	14.809556	6.049887	5.285437	6.161684	2.178192	1.469511
APITD1-CORT	0.0	0.491497	0.490538	1.571736	2.306634	2.941886
CORT	0.0	0.294105	2.565788	0.047147	0.870133	0.54718
DFFA	12.301775	24.614761	17.43088	35.769642	42.435287	38.917679
PEX14	2.049232	1.692988	2.390649	1.953521	4.39665	4.238998
CASZ1	0.0	0.037065	0.0	0.0	0.056019	0.024385
C1orf127	0.0	0.0	0.0	0.0	0.0	0.0
TARDBP	39.293079	33.406082	30.957062	27.721334	7.692471	10.725878
MASP2	0.168107	0.06995	0.135657	0.516392	0.0	0.0
SRM	437.445129	677.940063	569.985291	1132.932739	1668.542847	1906.857422
EXOSC10	32.001801	39.107224	38.674873	44.896229	30.387957	27.945961
MTOR	11.999306	11.000472	11.795231	12.135215	7.2321	5.113534
ANGPTL7	0.0	0.0	0.0	0.0	0.0	0.0
UBIAD1	6.67439	17.169941	13.023303	9.647627	21.85771	18.487635
PTCHD2	0.0	0.034305	0.036504	0.088694	0.0	0.0
FBXO2	0.0	0.0	0.0	0.0	0.0	0.0
FBXO44	0.0	0.0	0.0	0.0	0.0	0.0
FBXO6	0.995366	0.841642	0.123367	0.0	0.706167	0.0
MAD2L2	0.0	0.0	12.047672	0.0	17.050694	10.00506
DRAXIN	0.210132	0.0	0.0	0.0	0.0	0.0
AGTRAP	6.78475	10.873847	16.156336	8.872432	17.056932	34.004063
MTHFR	0.56891	0.43243	0.934306	1.027382	0.730248	0.678742
CLCN6	2.642895	3.687618	4.730911	4.734912	6.988286	7.89173
NPPA-AS1	0.0	0.155636	0.186755	0.22297	0.0	0.0
NPPA	0.306957	0.0	0.908106	0.932916	0.296814	0.592073
NPPB	1.990572	6.964744	2.618927	12.169739	6.153709	19.158447
KIAA2013	23.932789	36.01091	28.754499	29.255798	52.693012	63.170788
PLOD1	25.477846	26.996323	23.366947	14.713261	38.768936	34.595524
MFN2	0.0	0.0	14.042835	0.0	0.0	0.0
MIIP	27.975113	51.039635	54.47916	56.946922	155.774582	178.370651
TNFRSF8	1.123179	2.084388	0.964805	0.0	0.0	0.0
TNFRSF1B	24.088827	9.934089	10.710737	0.0	0.037076	0.0
MIR4632	0.002088	0.0	0.011025	0.0	0.0	0.0
VPS13D	1.246789	1.716738	1.044076	1.803668	1.619188	1.79649
SNORA59B	0.128827	0.281441	0.111891	0.136436	1.23867	0.788338
SNORA59A	3.504688	3.041125	0.335673	5.566586	1.249981	0.854033
DHRS3	5.733232	6.784978	3.232738	1.782153	0.541397	2.624865
AADACL4	0.0	0.0	0.0	0.0	0.0	0.0
AADACL3	0.013566	0.0	0.0	0.000449	0.0	0.0
C1orf158	0.0	0.0	0.0	0.637908	1.055918	0.0
PRAMEF12	0.0	0.064541	0.0	0.0	0.34014	0.0
PRAMEF1	0.0	0.0	0.0	0.0	0.0	0.0
PRAMEF11	0.0	0.0	0.0	0.0	0.0	0.0
LOC649330	0.048078	0.132449	0.24808	0.295242	0.086022	0.143925
HNRNPCL1	0.0	0.0	0.0	0.0	0.0	0.0
PRAMEF2	0.0	0.0	0.0	0.0	0.0	0.0
PRAMEF4	0.0	0.0	0.0	0.0	0.0	0.0
PRAMEF10	0.0	0.0	0.0	0.0	0.0	0.0
PRAMEF8	0.0	0.0	0.0	0.0	0.0	0.0
PRAMEF7	0.0	0.0	0.0	0.0	0.0	0.0
PRAMEF6	0.214638	0.0	0.0	0.0	0.0	0.0
PRAMEF22	0.0	0.20547	0.0	0.0	0.0	0.0
PRAMEF5	0.398089	0.0	0.0	0.0	0.0	0.0
LOC440563	0.0	0.0	0.0	0.0	0.0	0.0
PRAMEF3	0.398812	0.332444	0.0	0.384796	0.19918	0.0
PRAMEF15	0.0	0.0	0.0	0.0	0.0	0.0
PRAMEF9	0.0	0.0	0.0	0.0	0.0	0.0
PRAMEF13	0.0	0.0	0.0	0.0	0.0	0.0
PRAMEF19	0.0	0.0	0.0	0.0	0.0	0.0
PRAMEF18	4.428046	1.030866	0.0	3.454442	4.253687	0.0
PRAMEF16	0.0	0.0	0.0	0.0	0.0	0.0
PRAMEF20	0.0	0.0	0.0	0.0	0.0	0.0
PRAMEF21	0.0	0.0	0.0	0.0	0.0	0.0
PRAMEF17	0.0	0.0	0.0	0.0	0.0	0.0
LRRC38	0.675184	0.0	0.0	0.0	0.0	0.0
PDPN	12.662921	6.936391	1.493051	0.0	0.0	0.0
PRDM2	0.0	0.0	0.0	0.0	0.0	0.474351
KAZN	1.742651	1.575096	1.309818	0.0	3.6556	2.572541
TMEM51-AS1	0.0	0.0	0.0	0.0	0.0	0.0
TMEM51	4.96372	5.311732	5.355433	2.006465	1.744815	6.435359
FHAD1	0.0	0.0	0.114574	0.044959	0.0	0.0
EFHD2	37.363628	31.471054	28.515207	28.021893	31.339224	62.033794
CTRC	0.0	0.0	0.0	0.0	0.0	0.0
CELA2A	0.0	0.0	0.0	0.0	0.0	0.0
CELA2B	0.0	0.0	0.0	0.0	0.0	0.0
CASP9	1.078565	0.508554	1.753657	0.680267	1.862544	2.313493
DNAJC16	2.442546	1.814403	2.170394	2.682494	0.764021	1.252847
AGMAT	0.534952	0.157486	0.202243	0.373035	0.0	0.378359
DDI2	0.189064	1.444499	0.464081	1.358572	1.079955	1.581099
RSC1A1	12.88056	17.081078	7.166562	13.792424	1.679641	5.051817
PLEKHM2	21.21118	41.34277	63.972198	35.846703	53.118954	78.437027
SLC25A34	0.481008	0.174475	0.255083	0.427252	0.0	0.0
TMEM82	0.0	0.0	0.0	0.0	0.0	0.0
FBLIM1	0.091828	8.891072	12.837	10.508209	9.610076	14.911947
UQCRHL	56.318867	72.714592	51.332703	69.782112	33.421371	31.598635
FLJ37453	0.625703	0.561724	0.165483	0.541974	0.393203	0.078807
SPEN	3.862732	2.428086	3.332508	5.49723	1.6885	2.30481
ZBTB17	0.039426	0.0	5.990482	0.0	0.191067	0.042624
C1orf64	0.0	0.0	0.0	0.0	0.0	0.0
HSPB7	0.0	0.0	0.0	0.0	0.0	0.0
CLCNKA	0.0	0.0	0.0	0.005069	0.0	0.0
CLCNKB	0.0	0.0	0.0	0.0	0.0	0.0
FAM131C	0.0	0.0	0.0	0.0	0.0	0.0
EPHA2	2.546013	0.325387	21.850243	1.416812	0.338918	0.115805
ARHGEF19	0.319804	0.355009	0.139645	0.190321	0.826974	0.143014
RSG1	0.381868	0.229927	0.243033	0.259237	3.533535	0.670174
FBXO42	3.941591	2.005717	2.706276	2.465572	5.938794	5.43702
SZRD1	10.764607	9.580426	39.102779	12.695524	96.599503	27.029835
SPATA21	0.0	0.0	0.0	0.0	0.0	0.0
NECAP2	0.0	0.0	0.0	1.882309	0.0	8.211519
CROCCP3	0.080643	0.133193	0.0	0.106562	0.0	0.029991
MIR3675	0.0	0.0	0.0	0.0	0.0	0.0
NBPF1	0.49194	1.695115	4.270346	3.774401	0.593366	1.516368
CROCCP2	4.588676	5.044198	3.162674	6.960103	10.815786	10.274778
MST1P2	0.39984	0.368568	0.0	0.133202	0.681204	0.519853
ESPNP	0.0	0.0	0.0	0.0	0.0	0.0
CROCC	0.136133	0.148518	0.023428	0.102028	0.20627	0.10419
MFAP2	0.0	0.0	3.350918	0.207121	6.008106	0.0
ATP13A2	0.0	0.0	0.0	0.0	0.0	0.0
SDHB	161.984756	174.980301	190.211639	145.473145	174.922882	110.961372
PADI2	0.0	0.0	0.0	0.079814	0.0	0.070797
PADI1	0.0	0.0	0.55889	0.0	0.0	0.0
PADI3	0.0	0.0	0.0	0.0	0.0	0.0
PADI4	0.0	0.0	0.0	0.0	0.0	0.0
PADI6	0.760903	0.0	0.259156	0.0	0.11611	0.06887
RCC2	0.0	0.0	0.0	0.0	0.0	0.0
ARHGEF10L	0.0	0.181764	0.415952	0.077488	0.220966	0.794181
ACTL8	0.225613	0.478505	0.263898	0.342304	0.0	0.0
IGSF21	0.0	0.0	0.0	0.0	0.0	0.0
KLHDC7A	0.0	0.0	0.018894	0.0	0.0	0.0
PAX7	0.0	0.0	0.0	0.0	0.0	0.0
TAS1R2	0.0	0.0	0.0	0.0	0.0	0.0
ALDH4A1	0.0	0.0	0.0	0.0	0.0	0.0
MIR4695	0.034935	0.006719	0.007322	0.007624	0.058038	0.014457
IFFO2	0.742259	1.412204	5.856109	0.108901	0.023164	0.0
UBR4	4.842697	7.029692	8.334649	7.151388	9.288479	9.081625
EMC1	10.613976	12.030552	10.561599	9.675165	3.848524	5.227909
MRTO4	18.990448	42.117706	38.181683	35.082752	51.505306	54.216492
AKR7L	0.0	0.1486	0.277476	0.158113	0.380265	1.769211
AKR7A3	0.0	0.7588	2.696266	0.500598	1.452375	0.725978
LOC100506730	0.407689	0.0	0.113276	0.516517	0.119291	0.119183
AKR7A2	16.668295	22.987316	16.508707	20.828617	39.634655	44.008034
PQLC2	5.940196	35.497864	24.44342	21.575439	18.194727	69.625145
CAPZB	0.0	0.0	0.0	0.027756	0.105042	0.0
MINOS1	4.695115	12.866315	9.161877	7.191201	3.769444	5.298984
MINOS1-NBL1	0.0	0.0	0.4965	0.0	1e-06	0.0
NBL1	0.0	0.0	0.0	0.0	0.0	0.0
HTR6	0.0	0.0	0.0	0.0	0.0	0.0
TMCO4	0.072998	1.785019	0.782627	0.282584	0.228343	0.648724
RNF186	0.0	0.0	0.0	0.0	0.0	0.0
OTUD3	4.591684	8.541876	8.613386	4.899447	5.15274	3.725455
PLA2G2E	0.0	0.0	0.0	0.0	0.0	0.0
PLA2G2A	0.0	0.0	0.0	0.0	0.0	0.0
PLA2G5	0.223287	0.0	0.0	0.0	0.0	0.0
PLA2G2D	0.0	0.0	0.0	0.0	0.0	0.0
PLA2G2F	0.0	0.0	0.0	0.0	0.0	0.0
PLA2G2C	0.0	0.0	0.0	0.0	0.0	0.0
UBXN10	0.0	0.0	0.0	0.0	0.0	0.0
VWA5B1	0.0	0.0	0.0	0.0	0.0	0.0
LOC339505	0.0	0.0	0.0	0.0	0.0	0.0
CAMK2N1	1.098689	1.737845	0.617583	2.066962	0.377178	0.962262
MUL1	4.494558	6.997248	5.573775	11.401375	9.046682	10.004692
FAM43B	0.0	0.0	0.0	0.0	0.0	0.0
CDA	9.962911	7.97263	1.761897	3.40023	2.393761	0.0
PINK1	12.020406	13.084759	9.13533	16.046833	19.061298	11.839158
DDOST	24.218275	50.734371	63.14782	34.892838	64.019531	57.804707
KIF17	0.0	0.0	0.0	0.0	0.0	0.0
SH2D5	0.0	0.0	0.0	0.0	0.0	0.0
HP1BP3	19.855513	23.7262	18.155575	16.486237	11.558767	11.834949
EIF4G3	0.149946	0.0	0.210884	0.0	0.099797	0.0
ECE1	2.7431	2.106246	2.922909	1.280887	4.837754	5.483641
LOC100506801	0.0	0.0	0.0	0.0	0.0	0.0
NBPF3	4.397248	0.516589	0.892959	2.08658	0.127692	0.132933
ALPL	13.206738	6.668392	3.844565	9.151508	6.057555	2.031054
RAP1GAP	0.0	0.0	0.0	0.0	0.0	0.0
USP48	9.435061	4.929574	7.237079	9.143423	1.608887	2.540562
LDLRAD2	0.0	2.726681	3.413316	0.0	0.0	7.921206
HSPG2	0.586412	0.291944	0.586417	0.776858	1.679981	1.274593
CELA3B	0.0	0.409586	0.0	0.0	0.0	0.0
CELA3A	1.764455	0.641594	0.0	0.0	0.0	0.0
LINC00339	0.0	0.0	0.260111	0.0	0.0	0.0
CDC42	1.611853	0.967101	0.0	0.049566	0.0	0.267081
WNT4	0.0	0.0	0.0	0.408195	0.0	0.024897
ZBTB40	4.510716	2.613654	3.236664	3.304514	2.05412	1.102186
EPHA8	0.175505	0.0	0.0	0.0	0.0	0.0
C1QA	0.0	0.0	0.0	0.0	0.0	0.0
C1QC	0.0	0.0	0.0	0.0	0.0	0.0
C1QB	0.0	0.0	0.0	0.0	0.0	0.0
EPHB2	0.063047	0.868439	0.331246	0.197299	0.717288	0.364108
MIR4684	0.0	0.0	0.0	0.0	0.0	0.0
MIR4253	0.0	0.0	0.0	0.0	0.0	0.0
LOC729059	0.0	0.0	0.0	0.448521	0.0	0.0
KDM1A	58.518246	1.325012	87.161583	0.281592	40.694141	57.748142
MIR3115	0.0	0.0	0.0	0.0	0.0	0.0
LUZP1	0.0	7.217337	6.625732	4.77492	1.116302	0.0
HTR1D	2.592603	0.489213	0.268139	0.465288	0.0	0.056331
HNRNPR	133.962997	50.746696	91.795525	68.547966	33.635082	55.442989
ZNF436	0.0	0.0	4.043057	1.903493	0.0	0.0
C1orf213	0.793119	0.041203	0.553488	0.504955	0.338696	0.09201
TCEA3	0.221656	0.550618	1.4275	0.0	0.171822	0.0
ASAP3	0.0	0.0	0.0	0.0	0.0	0.0
E2F2	1.91395	1.975064	1.517497	2.875245	1.341503	1.601248
ID3	35.160046	35.443626	16.177343	14.705458	19.8428	50.371155
MDS2	0.0	0.0	0.0	0.0	0.0	0.0
RPL11	2241.021973	3187.378662	2228.774414	3063.110352	2354.162598	1616.973999
TCEB3	16.336622	21.247589	21.444548	26.201839	15.283952	13.945208
LOC100506963	2.226037	9.480985	4.002201	2.543585	0.729488	0.098536
PITHD1	39.366264	49.217678	48.850128	56.77314	28.660839	25.520391
LYPLA2	65.168694	87.118134	142.033676	99.191498	170.600662	345.460205
GALE	23.546467	24.472218	18.470961	25.856432	37.781094	25.514589
HMGCL	10.477757	12.880939	22.16197	13.951125	24.564123	22.554268
FUCA1	21.838686	9.194019	10.986453	11.894085	0.880216	2.219492
CNR2	1.480172	0.623634	0.514228	0.0	0.0	0.0
MIR378F	0.0	0.0	0.0	0.0	0.0	0.0
PNRC2	32.02042	19.330368	11.28606	13.846757	6.613897	9.126695
SRSF10	1.881914	0.494536	2.247362	2.094299	0.196794	3.673887
MYOM3	0.0	0.0	0.0	0.0	0.0	0.0
IL22RA1	0.0	0.0	0.032129	0.0	0.0	0.0
IFNLR1	0.269956	0.30877	0.325669	0.239313	0.631666	1.399713
LOC284632	0.0	0.0	0.0	0.0	0.0	0.0
GRHL3	9.80409	5.664829	8.384851	0.389376	0.546158	2.168839
STPG1	0.0	0.0	0.0	0.0	0.0	0.0
NIPAL3	0.385381	1.543994	1.456475	0.938538	0.512072	0.541751
RCAN3AS	0.0	0.0	0.0	0.0	0.0	0.0
RCAN3	0.0	0.0	0.0	0.0	0.0	2.547326
NCMAP	1.381958	0.166388	1.448893	0.038285	0.083054	0.040025
SRRM1	20.932404	13.327184	15.266294	16.978209	13.464636	12.90109
CLIC4	47.049786	15.549479	11.316734	17.796722	7.573223	12.397622
RUNX3	0.0	0.0	0.0	0.0	0.0	0.0
SYF2	45.520737	24.99983	15.894398	24.199829	7.986035	12.834404
C1orf63	19.377188	3.301816	9.09193	7.339838	11.131393	14.966863
RHD	0.0	0.0	0.0	0.0	0.0	0.0
TMEM50A	35.426956	28.546444	28.199297	31.483019	9.305203	13.524609
RHCE	0.0	0.0	0.0	0.0	0.0	0.0
TMEM57	4.331475	3.913568	4.179625	5.384323	3.042165	2.790115
LDLRAP1	6.401804	6.446839	1.033669	3.681701	7.690792	4.472981
MAN1C1	7.294005	2.807186	0.925445	0.0	0.0	0.0
SEPN1	3.337838	5.374991	4.007164	6.955685	6.422333	5.85104
MTFR1L	0.0	0.0	0.0	0.0	2.805901	0.0
LOC646471	0.25008	0.0	0.0	0.031648	0.221558	0.0
AUNIP	10.650278	9.393015	16.677155	14.474136	6.375958	5.744603
PAQR7	0.80203	0.880401	0.823343	1.120826	0.733962	0.902561
STMN1	0.0	0.0	0.0	0.0	0.0	0.220303
MIR3917	0.094796	0.102581	0.088649	0.10682	0.138933	0.148147
PAFAH2	3.499375	9.43154	5.856429	8.486666	3.359449	3.79023
EXTL1	0.0	0.0	0.0	0.0	0.0	0.0
SLC30A2	0.431784	2.959289	2.092933	1.368888	3.973464	0.434781
TRIM63	0.29857	0.467673	0.268009	0.388764	0.143097	0.0
PDIK1L	0.0	0.0	0.0	0.0	0.0	0.0
FAM110D	0.199148	0.0	0.0	0.0	0.0	0.0
ZNF593	122.200417	196.941284	208.793427	148.406204	309.946991	653.680115
CNKSR1	1.866382	6.543285	7.469662	5.287705	11.373322	10.262454
CATSPER4	0.0	0.0	0.0	0.0	0.0351	0.0
CEP85	55.784435	39.365604	51.404003	28.76738	22.52338	36.755428
SH3BGRL3	60.814754	74.073112	99.358574	73.871712	147.619308	134.244675
UBXN11	0.0	0.0	0.0	0.0	0.0	0.0
CD52	4.108934	1.416751	1.458121	2.806983	0.269811	0.0
AIM1L	4.605835	7.967503	10.103204	5.65816	10.645833	19.440947
ZNF683	0.0	0.0	0.0	0.0	0.0	0.385661
LIN28A	127.599533	78.789963	67.978378	133.349701	19.29286	33.526905
DHDDS	4.219593	6.350604	1.456283	2.726501	0.0	2.07684
HMGN2	154.811462	130.656265	102.257179	112.197609	22.49839	35.342899
RPS6KA1	23.789576	50.550774	29.614922	16.745937	20.767342	25.97468
