gene_id	C4_e1_c1_count	C4_e1_c2_count	C4_e1_c3_count	C4_e1_c4_count	C4_e2_c1_count	C4_e2_c2_count	C4_e2_c3_count	C4_e2_c4_count	C4_e3_c1_count	C4_e3_c2_count	C4_e3_c3_count	C4_e3_c4_count	C8_e1_c1_count	C8_e1_c2_count	C8_e1_c3_count	C8_e1_c4_count	C8_e1_c5_count	C8_e1_c6_count	C8_e1_c7_count	C8_e1_c8_count	C8_e2_c1_count	C8_e2_c2_count	C8_e2_c3_count	C8_e2_c4_count	C8_e2_c5_count	C8_e2_c6_count	C8_e2_c7_count	C8_e2_c8_count
Slc4a11	1314	3547	5007	1605	2854	1814	2215	304	785	3010	1698	3106	6469	5591	4972	5081	4335	5922	4371	6224	6446	5675	2089	1758	3394	3846	1443	1897
Slc4a10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4930519G04Rik	0	0	0	94	0	93	0	0	104	139	162	150	0	218	401	0	166	6	12	252	0	51	0	0	405	0	0	227
BC026585	6	0	146	0	95	89	317	535	0	0	0	24	0	0	538	0	95	3	0	235	0	0	0	137	0	0	0	0
1700013D24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ptprz1	0	0	0	0	0	0	0	0	0	0	168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pold1	212	0	0	0	56	0	0	88	33	1101	526	8	1048	3668	90	0	484	216	3582	27	0	805	5	281	845	1554	262	46
Pold2	488	0	0	81	1545	449	980	253	733	12	208	241	42	508	810	1553	70	105	719	2495	3084	1640	761	1478	679	601	994	889
Pold3	5170	5615	4852	5267	5039	3457	7078	6805	9067	4645	4492	3759	7121	16725	9242	7820	5754	13628	5557	6618	2778	8272	5032	6921	5475	9851	4168	9152
Pold4	0	0	0	0	54	0	0	0	0	0	0	0	0	12	0	0	0	321	4	0	0	0	0	0	0	0	0	322
Hdac1	5036	4230	6148	5501	7355	3220	2866	1924	7854	5799	6190	5302	7089	13128	6330	3058	6393	5436	10035	6814	9471	13533	14917	8579	4191	9499	10052	10291
Hdac3	0	0	0	5	0	0	0	0	0	0	52	8	413	0	391	463	0	13	741	1081	0	0	103	354	0	0	0	0
Hdac2	1147	432	322	1555	1694	1525	5542	3469	1461	2360	857	2789	1824	2396	3948	3590	2767	1892	3929	853	3915	2650	7293	3099	627	1942	1593	1437
Hdac5	0	0	0	4	0	0	0	0	0	456	0	55	0	0	148	0	26	0	0	0	0	0	0	155	0	4	0	0
Hdac4	0	8	13	25	186	121	25	9	126	0	9	356	3	0	19	0	0	0	0	0	0	41	98	52	0	0	40	91
Hdac7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hdac6	0	9	0	314	0	197	592	505	598	905	115	0	0	0	17	0	209	1064	523	8	9	1631	49	320	20	410	825	144
Hdac9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hdac8	0	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0
Gmpr	0	0	0	0	0	228	0	0	0	0	0	0	884	0	0	0	19	498	0	0	0	0	0	0	0	0	4	0
Gmps	3700	4842	3070	2879	4891	2083	5378	3105	1032	5303	1398	7925	6339	3056	2352	1354	2487	3104	1072	2230	4344	3535	1150	2744	2770	4412	1674	2659
1110032F04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4930557J02Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pvr	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	303	0	0	0	0	0	0	0	0	0	0	0	0
4732471J01Rik	0	32	3	3	0	6	9	6	0	0	0	0	69	174	13	0	14	19	7	0	0	22	0	30	0	0	3	0
Lix1l	0	0	105	233	0	0	0	0	0	282	0	0	0	0	0	0	0	0	137	0	0	0	0	0	0	0	0	0
Ikzf5	4	44	0	0	19	0	258	0	652	0	191	0	50	278	0	0	0	0	0	0	0	0	23	0	65	0	0	30
Ikzf4	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ikzf1	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ikzf3	0	0	0	154	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0
Ikzf2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H2afv	1727	4096	4011	3560	3716	2436	7040	3354	15573	8948	5557	9083	6091	5014	4845	4648	5381	15064	10934	12588	7103	7275	6004	10025	6922	7989	7504	8837
Mbtd1	2292	1215	349	1588	2188	552	2188	1687	2801	3226	1331	1112	455	1079	471	367	194	2285	1276	1105	1123	1263	935	1068	1235	615	211	600
H2afx	1057	2073	1913	2570	2710	357	820	1896	4705	13596	1694	5168	2951	3099	10042	12215	16073	5478	10403	5568	3339	37128	8059	23463	5685	16202	3149	3558
H2afy	0	4	0	4	0	0	63	0	0	0	11	582	8	95	0	643	0	72	0	11	144	56	0	16	0	392	0	503
H2afz	26833	19676	15874	30845	24778	15125	29484	15008	40210	33812	15990	36037	30731	38686	43793	44686	29449	55627	40026	41031	24500	46154	37772	29305	27351	26345	24701	26450
H2afj	1274	1618	873	2492	1745	1983	3591	2040	10995	3937	4504	5430	4510	7524	6529	7289	8422	25168	8419	10771	4273	7776	4751	5047	4372	7502	4540	4621
Theg	0	0	0	0	0	0	0	0	30	0	0	0	0	0	62	0	0	0	0	0	0	0	0	21	0	0	0	0
Fgf18	0	0	0	0	0	28	0	0	0	0	26	0	13	0	0	0	43	32	0	0	0	0	0	0	0	0	0	8
Fgf13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	210	0	0	0	0	0	0
Fgf12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fgf11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fgf10	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	3	5	596	0	388	0	0	0	0	0	3	4
Fgf17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fgf16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	111	0	0	0	0	0	0	0
Fgf15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	149	0	0	0	0	0	0
Fgf14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dpcr1	0	0	0	0	0	0	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prss46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prss44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prss45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
