F_4C_1_1	F_4C_1_2	F_4C_1_3	F_4C_1_4	F_4C_2_1	F_4C_2_2	F_4C_2_3	F_4C_2_4	F_4C_3_1	F_4C_3_2	F_4C_3_3	F_4C_3_4	F_4C_4_1	F_4C_4_2	F_4C_4_3	F_4C_4_4	PS_4C_1_1	PS_4C_1_2	PS_4C_1_3	PS_4C_1_4	PS_4C_2_1	PS_4C_2_2	PS_4C_2_3	PS_4C_2_4	PS_4C_3_1	PS_4C_3_2	PS_4C_3_3	PS_4C_3_4	PS_4C_4_1	PS_4C_4_2	PS_4C_4_3	PS_4C_4_4	PS_4C_5_1	PS_4C_5_2	PS_4C_5_3	PS_4C_5_4
Mkl1	0.25	0.25	0	0	0	0	0	0	0.25	0	0.25	NA	0	0	0	0	0	0	0.25	0	0	0.25	0	0	0	0	0	0	0.25	0	0	0	0	0.25	0.25	0.25
Mkl2	0.25	0.25	0.25	0.25	0.25	0.25	0	0.25	0.25	0	0.25	NA	0	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0	0.25	0	0.25	0	0	0.25	0	0.25	0.25	0	0.25	0.25	0
Lmna	0.25	0.75	0.5	0.5	0.75	0.25	0.75	0.5	0.5	0.25	0.25	NA	0.25	0.25	0.25	0.5	0.25	0.75	0.25	0.5	0.5	0.5	0.5	0.75	0.25	0.75	0.5	0.25	0.5	0.5	0.25	0.5	0.5	0.25	0.25	0.5
Fndc3c1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0.25
Mcemp1	0	0	0	0	0	0	0.25	0	0.25	0	0	NA	0.25	0	0	0	0.25	0	0.25	0.25	0	0	0	0	0.25	0	0	0.25	0	0	0.25	0.25	0.25	0	0	0
Sorcs1	0	0	0	0	0	0	0	NA	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sorcs2	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Supt16	0	0	0	0	0	0	0	0.5	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Trim34a	0.25	0	0	0	0	NA	0	0	0	0	0	NA	0	0.5	0	0	0	NA	0	NA	0	0	0.25	0	0	0	0	0	0.25	0	NA	0	1	0	0	0
Trim34b	0	0	0	0	0	NA	NA	0	0	0	0	NA	0	NA	0	0	0	0	0.25	0	0	0.25	0.25	0	0	0	0	0	0	NA	0	0	0	0	0.25	0
Prepl	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4933412E24Rik	0	0.25	0	0	0	0	0	0.25	0.25	0	0	NA	0	0	0	0.25	0	0	0	0	0	0	0.25	0	0	0.25	0.25	0	0.25	0	0	0	0.25	0.25	0.25	0
Cdhr1	0	0	0	0.25	0.25	0	0	0	0	0	0	NA	0.25	0	0	0	0.5	0	0	0.25	0	0	0	0	0	0.25	0	0	0.25	0.25	0.25	0	0	0	0	0
Cdhr2	0	0	0	0	0.25	0	0	0	0	0	0	NA	0	0	0	0	0	0	0.25	0	0.25	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0
Cdhr3	0	0.25	NA	0	0	0.25	0	0	0	0	0	NA	0	0	0	0	0.25	0	0.25	0.75	0	0	0	0	0	0	0.25	0	0	0.25	0	0	0	0	0	0
Cdhr5	0	0	0	0	0	0	0	0.25	0	0	0	NA	0	0	0	0	0	0.25	0.25	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0.25	0
Tcof1	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm3279	0.75	0	0.25	NA	0.5	0	0	0.75	0.5	NA	0	NA	0.25	NA	0	0.25	0.25	0.25	0	1	0.25	0	0	0	0.25	0	0	0	0.25	0.5	0	0	0	0	0	0.25
Prmt10	0.75	0.25	0.5	0.5	0.75	0.75	0	0	0.5	0.75	0	0	0.25	0.25	0.25	0.25	0	0.75	0.5	0	NA	0.5	0.25	0.25	0	0	0	0.25	0.5	0	0.25	0	0	0	0	0.25
Olfr523	0.25	0.25	0.5	0.5	0	0	0	0.5	0	0	0	0	0	0.25	0	0	0	0	0	0.25	0	0	0.25	0	0	0	0	0	0	0	0.25	0	0	0.25	0.25	0.25
Olfr522	0.5	0.5	0.25	0.5	0	0.25	0.25	0.25	0.25	0.25	0.5	NA	0.25	0.5	0.5	0.5	0.25	0.25	0	0.5	0.25	0	0.5	0.25	0.25	0.25	0.25	0.25	0	0	0.25	0.25	0.5	0.5	0.25	0.25
Olfr521	0.25	0	0	0.5	0	0	0	0	0.25	0	0	NA	0	0	0	0	0	0	0	0.5	0.25	0	0	0.5	0	0	0	0	0.25	0.25	0.25	0	0	0	0	0
Olfr520	0.5	0.5	1	0.75	0.75	0.75	0.25	1	0.25	0.5	0.5	NA	1	0.5	0.75	0.75	0.25	0.25	1	0.5	0.75	1	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.5	0.5	0.75	1	1	0.75	0.25
Olfr527	0.5	0.75	0	0.25	0.25	NA	0.5	0.25	0	0	0	NA	0.25	NA	0.5	0.5	0.25	0.5	0.75	0.75	0.25	0.25	0.5	0.5	0.75	0.75	0.25	0.5	0.75	0.25	0.75	0.5	0.5	0.5	1	0.5
Olfr525	0.25	0.75	0.75	0.5	0.5	0.25	0	0.5	0.25	0	0	NA	0	0.25	0	0	0.75	0	0	0	0.25	0	0.5	0.25	0.25	0.5	0.5	0.5	1	0.75	0.75	0.5	0.75	0.75	0.75	0.75
Olfr524	0	0.25	0.25	0.25	0	0	0	0.25	0	0	0	NA	0	0	0.25	0	0.25	0.25	0.25	0	0.25	0.25	0.25	0.5	0.25	0.25	0	0	0.25	0	0.25	0	0.5	0.5	0.25	0.25
Gm10640	0.25	0.75	0.25	0.5	0.25	0	0.5	0.25	0.25	0.25	0.25	NA	0.25	0.25	0.25	0.25	0.5	1	0.5	0	0.25	0.5	0.5	0.5	0	0	0	0.25	0	1	0	0.25	0.25	0.25	0	0.25
Gm10649	0.25	0.25	0.25	0.25	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0.5	0.25	0.25	0	0	0	0
Zik1	0	0	0	0	0	0.5	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0
5730435O14Rik	0.5	0.25	0.75	0.75	0.5	0.75	0.75	0	0.5	0.25	0.25	NA	0.75	0.75	0.5	0.75	0.25	0.5	0.5	0.25	0.25	0.25	0.25	0.75	0.5	0.5	0.75	0.5	0.5	0.5	0.75	0.5	0.5	0.5	0.5	0.25
Usp8	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA
Usp1	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Usp2	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Usp3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Usp4	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Usp5	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Usp7	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rpl38	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rpl39	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rpl36	0	0	0	0.25	0	0	0	0	0.25	0	0	1	0	0	0	0	0	0	0.25	0.25	0	0	0	0	0	0	0	0	0.25	0.25	0	0.25	0	0	0.25	0
Rpl37	0	0	0.25	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rpl34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0.25	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0
Rpl35	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rpl32	0	0	0	0.25	0	0	0	0.25	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rpl30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rpl31	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anp32e	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fam13b	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fam13c	0	0	0	0	0	0	0	0	0.25	0	0	NA	0	0.25	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0.25	0	0.25
Fam13a	0	0	0	0.25	NA	0	0	NA	0	0	0.25	NA	0	0	0	0	0	0	0.25	0.25	0.5	0	0	0.25	0.25	0	0	0.25	0	0	0	NA	0	1	0.25	0
Bcas2	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0.25	0.25	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0
Bcas3	0	0.25	0.5	0.25	0.75	0.5	0.25	0.25	0.5	0.75	0.25	NA	0.5	1	0.25	0.75	0.5	0	0.75	0	0.5	0.5	0.25	0.5	0.5	0.25	0.5	0.25	0.25	0.25	0.25	0.5	0.25	0.25	0.25	0.5
Bcas1	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0.25	0
Gm8369	0	0	0.25	0.25	0.75	0.75	1	0.25	0	0	0.25	NA	0.25	0.25	1	0.25	0.5	1	0.75	NA	0.5	0	0	1	0.25	0.5	0.5	0.25	0.5	0.5	0.25	NA	NA	0	0.5	0.25
BC089491	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0
Hist3h2ba	0	0	0	0	0.25	0	0	0	0	0	0	NA	0	0	0	0	0	NA	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mlycd	0.25	0.5	0.25	0	0	0	0.25	0	0	0	0.25	NA	0	0.25	0.25	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hist4h4	0	0	0	0	0	0	NA	0	0	0	0	NA	0	0	0	0	0.25	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rpl3l	0	0	0.25	0	0	0	0	0	0.25	0.25	0.25	0	0	0	0	0	0	0.25	0	0.25	0.5	0.25	0	0.5	0	0	0	0	0	0	0	0	0.25	0.25	0	0
Ttbk2	0	0	0	0	0	0	0	0	0	0	0.5	NA	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0
Ammecr1l	0.25	0	0.25	0	0	0	0.5	0.25	0	0.25	0.25	1	0.25	0	0	0	0	0.25	0	0	0.25	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0.75	0.5
Ttbk1	0.25	0.25	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0.25
Ncor2	0	0.25	0	0.5	0.25	0	0	0	0.25	0.25	0.25	NA	0.25	0.5	0.25	0	0	0	0.25	0.5	0.25	0	0.25	0.25	0.25	0	0	0	0	0	0.25	0.25	0.25	0.25	0	0
Ncor1	0.75	0.75	0.25	0.25	0	0	0	0	0	0	0	NA	0.25	0	0	0	0	0	0	0.25	0	0	0	0	0.25	0	0.25	0.25	0	0	0	0	0	0	0	0
1810010D01Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0.25	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nkiras2	0	0.25	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0
Gkn1	0.25	0.25	0.25	0	0.25	0.25	0	0.75	0	0	0	NA	0.25	0.25	0	0.25	0.25	0.25	0	0.5	0	0	0.25	0.25	0.25	0.25	0.25	0.75	0	0.25	0.75	0.25	0.25	0.25	0.75	0.5
Gkn2	0.25	0	0	0.25	0	0	0	0.25	0	0.25	0.25	0	0	0	0	0	0.25	1	0	NA	0.25	0.25	0.5	0.25	0.25	0.5	0.25	0.25	0	0.25	0.25	0.25	0.25	0	0.5	0.25
Gkn3	0	0	0	0	0	0	0	0	0	0	0	NA	0.25	0	0	0	0	NA	0	0	0.25	0.25	0.5	0.75	0.25	0	0	0.25	0	0	0	0	0.25	0.25	0.25	0.25
Magohb	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0
Ankrd50	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ppme1	0	NA	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0
Gltpd2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
