gene_symbol	ICM_1_FPKM	ICM_2_FPKM	ICM_3_FPKM	ICM_4_FPKM	TE_1_FPKM	TE_2_FPKM	TE_3_FPKM	TE_4_FPKM
Il17a	0.0	0.469163	0.0	0.0	0.0	0.0	0.0	0.0
Il17f	0.0	0.0	0.382169	0.563841	0.0	0.0	0.450575	0.0
Mcm3	74.906067	66.171188	46.018108	46.092075	52.948097	43.020947	39.176479	39.334564
6720483E21Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Paqr8	0.0	0.0	0.191958	0.0	0.798949	1.427655	0.389751	0.554449
Efhc1	1.01558	0.0	0.022728	0.143936	0.0	1.142327	0.206588	0.03083
Tram2	7.346066	0.0	7.992792	6.893403	0.0	0.0	0.0	0.0
Tmem14a	1.236572	3.87682	1.777801	0.300494	3.474444	0.590554	2.252699	2.14323
Gsta3	1.469736	1.298451	1.332487	0.921623	1.313222	0.181844	2.067008	1.491393
Gm4956	0.756398	2.712972	1.464295	6.603744	2.621718	0.818035	3.951446	0.699645
Khdc1a	29.587545	24.471964	20.837666	41.005749	30.755423	22.492983	33.470333	37.947811
Khdc1c	2.685883	6.540753	2.728281	3.518306	5.258554	15.873199	8.020949	10.157968
Khdc1b	0.436216	0.156279	1.459839	1.438239	0.839969	0.671705	1.758831	2.445855
Kcnq5	0.0	0.0	0.0	0.0	0.062483	0.126876	0.084124	0.011216
Rims1	0.095511	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4933415F23Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mir30a	0.0	4.622785	1.165302	2.586785	0.0	0.0	1.031932	0.0
Mir30c-2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ogfrl1	4.071328	6.028878	6.198605	5.751547	4.714305	4.138259	5.701819	6.040425
B3gat2	4.663171	2.584384	9.163541	3.086539	2.453292	3.648549	3.117739	1.484397
Smap1	60.058548	32.135891	35.976257	45.001873	38.951485	56.674793	30.317604	33.611534
1110058L19Rik	11.140818	6.268587	12.498153	9.811046	7.709064	8.19853	8.784907	4.988099
Fam135a	7.430176	4.167391	7.162512	8.307931	4.843222	3.514405	7.717313	7.112579
Col9a1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Col19a1	0.0	0.0	0.0	0.0	0.010395	0.0	0.0	0.0
Lmbrd1	8.540779	6.600796	8.547197	7.823888	5.716831	6.36483	8.572692	8.438884
Bai3	0.0	0.0	0.0	0.55062	0.0	0.0	0.0	0.0
Gm20172	0.0	0.0	0.0	0.0	0.070651	0.0	0.0	0.0
4931408C20Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm597	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Phf3	55.410839	60.038467	50.529171	50.714859	53.325279	47.59499	48.762459	48.855114
Ptp4a1	31.170975	27.670855	43.40596	47.622055	20.032053	24.492119	37.69025	29.946745
Gm13363	8.630942	0.0	6.649273	6.678757	18.607265	0.0	7.76296	10.196578
4931428L18Rik	0.0	0.0	0.793644	0.0	0.0	0.0	0.0	0.0
Lgsn	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Pih1d3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm4850	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Khdrbs2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm9839	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm5415	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Prim2	38.631565	27.220446	27.122787	13.777995	21.729027	24.086409	18.44236	16.934563
1700001G17Rik	0.302459	0.389739	0.0	0.0	0.123262	0.0	0.0	0.0
Rab23	2.511206	8.004599	5.723984	4.743259	5.463342	8.133637	5.023796	4.790077
Bag2	0.0	1.441662	1.403119	0.783441	1.261592	0.0	0.609999	0.365756
Zfp451	8.59672	7.598547	9.326132	12.350205	6.029683	3.798987	9.154921	9.21913
Gm15455	1.857475	0.688193	0.425473	2.524243	1.603011	2.628085	0.912025	1.892804
Bend6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Dst	0.89883	0.143265	0.244151	1.009072	0.357134	0.726714	0.255572	0.420618
Mir5103	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ccdc115	32.436394	38.911163	33.93932	26.618126	32.230103	27.568228	29.769081	31.145287
Imp4	72.6091	95.322777	43.72102	52.49181	60.775112	66.144691	52.125885	56.951866
Ptpn18	2.977094	2.053553	0.220575	0.081097	1.469003	0.314448	1.461112	1.052931
Prss39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cfc1	0.0	0.206773	1.329793	0.682766	0.976324	1.128627	2.338866	1.097057
Prss40	0.0	0.0	0.0	0.0	0.057084	0.0	0.0	0.118661
Amer3	0.0	0.0	0.0	0.0	0.0	0.0	0.090429	0.0
AA619741	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Arhgef4	1.854998	6.15779	1.521862	0.533747	1.234289	0.794606	1.880915	1.046937
Fam168b	0.0	0.0	0.004437	0.009257	0.045887	14.387085	1.124969	0.0
Plekhb2	0.013473	0.882938	0.225092	1.434267	1.123918	0.279408	1.352841	1.090644
Hs6st1	28.889656	51.730366	20.012499	11.682446	30.745771	31.574554	20.940714	20.942757
Uggt1	20.772539	23.573383	18.611094	25.182308	21.671072	19.193832	19.638302	19.953276
Neurl3	0.0	0.717819	0.0	0.0	0.0	0.0	0.0	0.0
Arid5a	0.25113	3.568742	0.478971	0.169073	1.435282	2.078886	0.858129	1.426252
Kansl3	13.064897	20.37973	9.00891	7.691854	12.164272	11.518908	6.132445	8.746228
Lman2l	6.189487	2.175669	3.27934	8.235282	3.293861	5.112197	4.451027	3.650805
Cnnm4	6.344967	6.250171	4.219779	3.927045	15.853746	16.888584	7.692103	10.249335
Cnnm3	5.592701	4.457321	0.330416	4.388796	0.037875	4.10859	0.004076	0.028211
Ankrd23	2.903137	0.179713	0.22692	1.692124	0.802409	1.281934	0.567067	0.425676
Ankrd39	1.660286	0.274741	1.480493	0.0	1.274469	0.0	1.014548	0.454801
Sema4c	0.056002	1.866702	0.119191	0.186575	0.297269	0.866687	0.198441	0.662758
Fam178b	0.313003	0.046046	0.0	0.0	0.0	0.0	0.0	0.0
Cox5b	242.018524	191.596863	246.733109	231.104019	186.4254	360.128357	217.954651	239.119705
Actr1b	79.208611	46.484116	40.013317	46.877632	67.22258	61.525124	55.69199	56.479301
4933424G06Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.518921	0.0
Zap70	0.08157	0.681025	0.698624	0.0	0.266414	0.0	0.423567	0.570682
Tmem131	92.908928	90.270149	68.063354	66.410545	58.730492	64.932526	47.374771	48.095482
Cnga3	1.27982	2.944032	2.427768	2.615472	1.707668	3.181837	2.24963	2.253985
Inpp4a	1.014373	1.780496	0.764084	1.585998	3.419778	1.768758	2.941063	2.626536
Coa5	30.034109	39.079224	58.007229	53.131401	50.348423	34.547981	57.141273	57.953522
Unc50	16.94183	29.398806	52.79108	54.822063	28.426462	25.547972	48.632744	50.277824
Mgat4a	1.791411	6.761754	3.568771	4.01309	6.561892	3.92879	5.404097	5.244415
4930594C11Rik	0.002603	0.0	0.474849	0.690622	2.449507	0.57041	1.357641	2.022592
2010300C02Rik	3.29815	1.003208	0.192397	2.303509	1.675088	1.127211	1.691194	1.477071
Tsga10	0.774317	2.459085	0.888586	1.728893	1.066705	1.395354	1.241353	1.065129
Lipt1	0.883951	3.815162	4.930908	2.428537	1.984989	2.335756	2.524566	3.093494
Mitd1	13.855455	5.08749	17.822681	8.535747	7.752829	4.020151	10.720062	12.999951
Mrpl30	59.556431	70.542717	81.119583	93.42366	77.319595	121.432594	88.758362	87.014954
Lyg2	0.0	0.0	0.0	0.0	0.106845	0.0	0.0	0.100576
Lyg1	0.0	0.0	0.0	0.124355	0.0	0.0	0.0	0.0
Txndc9	15.613622	15.859717	14.216516	15.096054	18.679291	14.672703	18.87388	16.888895
Eif5b	47.456005	54.389336	84.462959	74.859932	50.609951	61.268044	79.65139	77.917397
Rev1	9.846911	10.069053	11.463005	9.104765	10.562323	5.874124	6.845045	7.850637
Aff3	0.153547	0.180352	0.10117	0.010979	0.564749	0.420882	0.620604	0.439671
Lonrf2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Chst10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Nms	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Pdcl3	38.027412	51.25169	53.861435	62.761005	54.037216	29.60821	75.073219	69.399277
Npas2	0.341017	0.0	1.289716	0.466789	0.597931	1.051566	0.434117	0.838947
Rpl31	782.966614	847.868347	663.209839	662.345703	624.697815	760.650024	610.641479	627.531006
Tbc1d8	2.711797	5.276081	3.492424	2.187027	4.785002	3.13267	2.873438	2.832712
Cnot11	17.395756	14.963313	13.297142	10.983972	9.926327	17.231358	10.007943	9.745071
Snord89	0.099164	1.190458	1.587767	0.291954	1.245018	0.0	1.332587	0.676239
Rnf149	50.501556	35.232445	52.499603	46.179771	26.558729	14.837667	28.458265	25.883572
Creg2	0.0	0.0	0.0	0.088617	0.036432	0.0	0.0	0.0
Rfx8	0.0	0.0	0.0	0.0	0.078076	0.0	0.0	0.0
Gm3646	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700066B17Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Map4k4	17.592047	21.054531	25.690079	23.55275	11.830266	14.820083	14.034474	13.329
Gm16894	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Il1r2	2.386269	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Il1r1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Il1rl2	0.389402	0.563177	0.0	0.0	0.0	0.0	0.0	0.060409
Il1rl1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Il18r1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Il18rap	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Slc9a4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Slc9a2	0.0	0.098388	0.0	0.0	0.0	0.0	0.0	0.0
Mfsd9	0.790164	0.053328	0.128671	3.151375	1.102197	1.051146	1.55692	1.200186
Tmem182	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4930448I06Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2610017I09Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.215065
Pou3f3	0.0	0.0	0.052946	0.3691	0.193983	0.322812	0.06428	0.02555
2900092D14Rik	0.0	0.0	0.0	0.0	0.154284	0.0	0.184407	0.0
Mrps9	14.862299	19.532656	18.424294	22.612597	23.432728	14.856844	18.089294	16.050989
Gpr45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tgfbrap1	3.097054	6.435357	3.731496	3.298641	4.352495	5.746046	3.237631	4.630976
AI597479	16.762123	17.339886	22.392021	17.617044	13.832285	16.380075	19.36594	17.583488
Fhl2	10.766438	10.110751	5.62184	1.628805	10.272924	3.557457	6.963686	6.157324
Nck2	31.782253	30.984943	32.785271	29.30475	41.404449	22.071278	39.144791	40.541416
1500015O10Rik	0.0	0.0	0.133545	0.0	0.0	0.0	0.135832	0.0
Uxs1	4.709935	6.804931	12.821735	7.291388	5.792287	10.617498	6.014473	6.146022
Tpp2	21.895247	24.824385	34.458885	33.152317	34.59277	19.726355	33.424706	32.59597
Mettl21c	1.07174	2.616811	0.93951	2.880543	3.111667	1.541695	4.144821	2.841096
Tex30	4.920434	6.302007	19.311756	11.918605	6.000765	4.823252	12.372077	12.801415
Kdelc1	2.377734	1.727495	2.096333	3.505598	0.702936	1.192499	1.102931	1.36707
Bivm	7.421074	1.599282	1.14364	3.205028	1.339881	3.290095	0.789106	1.329882
Ercc5	7.546189	6.823717	6.252791	9.511364	11.288192	12.706097	6.885195	9.697313
Mettl21e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gulp1	0.75567	0.802854	3.13249	1.407066	3.10669	1.483354	4.860289	4.159879
4930521E06Rik	0.0	0.0	0.014717	0.0	0.23561	0.0	0.177323	0.020802
Col3a1	0.0	0.0	0.0	0.086886	0.0	0.0	0.147256	0.077355
Col5a2	0.392182	0.131156	1.105224	0.315376	0.0	0.0	0.014847	0.029112
Wdr75	36.026436	49.073601	53.437286	50.899681	45.262112	33.524632	52.918934	49.882332
Slc40a1	0.97011	0.0	1.566704	0.520219	1.566155	1.262878	1.693655	1.496749
Gm4776	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Dnah7b	0.0	0.01296	0.048981	0.040526	0.037142	0.027425	0.0	0.015974
Slc39a10	19.981983	18.594904	25.781881	30.53297	12.752133	8.768682	15.783293	15.621864
Tmeff2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.100791
9330175M20Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Sdpr	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Nabp1	13.927801	14.748975	33.415291	35.045815	43.359894	33.449566	95.063248	80.557785
Myo1b	16.580793	26.503628	33.271259	23.481314	8.616749	17.654921	17.509899	15.018847
Stat4	0.0	0.0	0.296267	0.0	0.0	0.0	0.0	0.0
Stat1	0.532622	0.0	2.091486	0.240714	0.25212	0.014664	0.056661	0.0
Gls	1.485569	3.849911	1.639648	3.89366	7.534992	4.802292	5.387138	3.270959
Nab1	9.679603	6.254443	4.271659	4.673114	6.61143	7.181497	5.777047	5.114789
Tmem194b	2.426546	1.235234	0.432046	4.444981	0.417916	0.0	0.864574	0.809698
Mfsd6	0.0	1.043125	0.300004	0.086427	0.40864	0.472506	0.178209	0.284267
Inpp1	0.045889	0.453632	1.103043	0.561201	1.015008	0.342758	1.815891	1.396576
Hibch	31.311508	21.770699	30.93564	28.512686	29.169706	17.680948	38.460098	35.651379
1700019D03Rik	19.494749	5.429369	16.235285	21.470343	6.84233	1.774095	5.74522	7.856915
Mstn	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700019A02Rik	0.22458	0.26154	0.576467	0.432654	0.0	0.0	0.287713	0.0
Pms1	8.936125	8.461983	11.866274	12.428328	5.334329	6.87604	8.029159	6.519689
Ormdl1	5.328773	8.287583	8.426384	6.071774	8.711812	11.286342	7.354256	7.923372
Osgepl1	6.739377	7.910411	4.602298	7.850437	7.329927	5.435689	6.982129	5.929749
Asnsd1	66.92514	42.339237	52.27655	52.249813	45.961739	39.268562	46.53178	42.772255
Stk17b	11.739973	7.123328	17.862339	22.183371	15.37075	15.244805	20.821318	20.649923
Hecw2	0.091066	0.292974	0.973481	0.156711	0.554037	1.501109	0.314243	0.464401
Ccdc150	1.609765	2.005243	3.226624	1.461043	1.774642	0.0	2.91433	2.486378
Gtf3c3	30.600714	22.311972	24.22677	33.867287	22.025679	23.437243	26.719942	23.283968
Pgap1	3.372229	5.26762	9.764216	13.61702	20.269953	13.851093	24.755651	22.915129
Ankrd44	0.310518	1.157408	1.348187	1.550289	1.947691	1.216616	2.208847	1.772847
Sf3b1	116.002785	105.291031	123.069878	122.791901	90.926361	85.318863	104.821739	98.710495
Coq10b	4.570074	3.908624	4.275517	7.260524	7.566583	2.311045	8.114731	6.83513
Hspd1	789.60144	837.229004	1081.286499	1043.80188	621.805542	448.687927	865.860901	849.315369
Hspe1	412.638306	387.19873	442.974701	476.700928	337.470459	277.646912	344.52359	314.284119
Mob4	14.940695	11.766311	21.855595	22.59322	20.471117	13.256317	21.973343	23.135176
Rftn2	0.0	0.157175	0.190573	0.0	0.531566	0.0	0.46349	0.887444
Mars2	2.529255	1.431447	5.691053	7.4926	5.425783	7.858409	5.268071	4.623905
Boll	0.0	0.0	0.0	0.0	0.057605	0.0	0.0	0.0
Plcl1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Hsfy2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Satb2	32.104767	31.928829	33.43359	42.243195	56.100357	66.441391	54.93898	55.298378
9130024F11Rik	0.526424	0.680718	1.264496	0.578825	1.190798	2.890207	1.039891	1.561082
BC055402	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4930558J18Rik	0.24995	0.0	0.123819	1.686124	0.581224	0.0	1.600465	1.25256
1700066M21Rik	0.774913	1.373128	1.777372	3.945521	1.95663	2.184343	2.440331	3.626933
Tyw5	8.379442	1.40608	10.60519	0.203154	6.068675	0.0	4.822587	6.742988
9430016H08Rik	20.042164	12.44494	15.557641	12.667919	21.618826	21.359095	15.424602	15.321882
Spats2l	0.045589	0.094634	0.232388	0.55108	0.274787	0.369423	0.363855	0.087457
Kctd18	0.595199	12.877448	13.723986	0.146706	0.405846	14.055766	1.131416	11.744328
Sgol2	0.0	0.0	3.446853	6.016	0.0	0.0	2.60615	4.055276
Aox1	0.220001	0.0	0.0	0.143834	0.010447	0.0	0.0	0.0
Aox3	0.0	0.0	0.0	0.0	0.0	0.0	0.015058	0.03512
Aox4	0.0	0.0	0.0	0.009523	0.286513	0.0	0.013204	0.132824
Aox3l1	0.823806	0.0	0.483122	0.195182	0.288659	0.762753	0.248061	0.068423
Bzw1	154.275558	134.555466	246.093399	221.145828	163.300751	112.416405	225.028809	187.634674
Clk1	11.679047	12.331551	40.382519	36.714245	22.084749	0.0	33.115856	47.507652
Ppil3	35.664715	17.892838	52.2631	30.14325	24.540022	25.283737	25.542995	30.92625
Nif3l1	15.137607	17.382042	22.786154	11.536622	16.597509	18.321779	14.251209	15.302288
Orc2	37.348587	22.761398	27.51087	34.705902	30.516596	26.032965	26.623106	25.785059
Fam126b	3.112065	3.007068	6.412078	8.003594	3.727015	3.325156	6.581437	5.224461
Ndufb3	144.500122	66.444084	106.168709	78.301758	86.167183	82.043922	86.401413	65.912605
Gm20257	0.056305	0.0	0.0	0.0	0.0	2.519116	0.070141	0.0
Als2cr12	0.0	0.0	0.409483	0.0	0.0	0.0	0.0	0.0
Cflar	0.166555	0.0	0.410073	1.884937	0.0	0.0	1.807613	2.195871
Casp8	0.142113	0.406812	0.282409	0.0	0.0	0.0	0.0	0.090367
Trak2	11.586272	15.628694	13.889688	12.815788	18.302868	13.547687	15.404424	14.898562
Stradb	7.131138	7.64439	5.858682	8.637175	9.653223	9.126898	8.251923	9.940185
Als2cr11	0.728048	0.40933	0.240274	0.171932	0.0	0.0	0.0	0.220414
Tmem237	0.0	0.0	0.556683	0.0	0.175986	0.0	0.315465	0.686701
Mpp4	0.0	0.0	0.0	0.0	0.0	0.0	0.0782	0.0
Als2	10.192573	10.855938	7.272555	6.125632	9.990561	4.749048	4.412101	0.0
Cdk15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Fzd7	1.045573	1.997867	2.745839	2.53304	0.550249	0.205396	0.502987	0.954708
Gm973	1.115533	0.131376	1.506801	0.246932	0.834822	1.502325	0.67065	0.356295
Sumo1	110.681816	124.928444	223.423508	184.817215	140.592209	109.984413	235.722534	197.698532
Nop58	222.814911	221.930588	263.25238	259.342407	198.155518	184.130463	232.532333	233.37468
Snord70	0.311163	0.56539	3.201715	1.155105	0.760859	7.138565	1.79365	0.82715
Snord11	3.238009	8.041383	1.993092	4.260405	5.392046	0.0	1.533954	2.301295
Bmpr2	39.162594	39.754765	37.137856	41.7369	35.27029	35.051399	35.026409	37.896233
Fam117b	19.861898	16.621031	14.60416	17.236734	14.872571	13.457569	14.796926	12.439739
Ica1l	2.780454	1.718408	3.404703	5.420987	1.557268	0.805183	1.836149	1.331721
Wdr12	6.869041	17.608618	18.555477	11.729925	2.228414	0.0	16.162479	6.544775
Carf	2.377736	3.975746	5.788898	4.098548	3.079885	2.121302	2.966574	3.55289
Nbeal1	5.933569	4.28049	7.675171	7.435529	6.282695	4.455774	7.770669	7.200855
Cyp20a1	8.714333	8.944409	5.095334	9.50085	7.513368	10.60473	7.820278	8.212237
Abi2	0.180974	0.0	0.0	0.911058	2.616433	0.0	0.0	0.0
Raph1	16.502489	14.545486	13.914627	13.905327	22.759718	29.247194	17.708092	19.730474
Cd28	0.049244	0.0	0.223144	0.216492	0.797432	0.113619	0.978158	0.432601
Ctla4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Icos	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9530026F06Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Pard3b	0.0	0.609146	0.0	0.0	0.0	0.0	0.069907	0.0
Nrp2	0.0	0.0	0.212305	0.057654	0.034891	0.141117	0.019198	0.097574
4930487H11Rik	0.0	0.0	0.0	0.0	0.615242	0.0	0.293415	0.0
Ino80d	15.977341	23.692928	11.583432	17.128965	13.525756	12.568136	12.291979	15.989366
Ndufs1	0.409183	11.516652	0.333408	1.630065	0.008087	0.0	8.20822	15.797311
Eef1b2	400.50531	342.797119	368.555908	384.41745	371.615143	211.74649	356.041565	333.182678
Snora41	19.870571	10.549308	14.804416	16.130484	14.553813	6.959424	13.439397	13.010351
Gpr1	0.0	0.56986	0.555873	0.052842	0.529094	0.799034	0.107275	0.156282
Zdbf2	4.035869	4.614883	4.266931	3.725618	2.727971	1.585158	2.575494	2.663795
Adam23	0.0	0.0	4.431158	2.786356	2.189298	0.0	2.278643	0.163897
Dytn	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mdh1b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
