MII_1_ratio	MII_2_ratio	MII_3_ratio	MII_4_ratio	MII_5_ratio	MII_6_ratio	MII_7_ratio	MII_8_ratio	MII_9_ratio	MII_10_ratio	MII_11_ratio	MII_12_ratio	MII_Bulk_ratio	X2i_1_ratio	X2i_2_ratio	X2i_3_ratio	X2i_4_ratio	X2i_5_ratio	X2i_6_ratio	X2i_7_ratio	X2i_8_ratio	X2i_9_ratio	X2i_10_ratio	X2i_11_ratio	X2i_12_ratio	X2i_Bulk_ratio	Ser_1_ratio	Ser_2_ratio	Ser_3_ratio	Ser_4_ratio	Ser_5_ratio	Ser_6_ratio	Ser_7_ratio	Ser_8_ratio	Ser_9_ratio	Ser_10_ratio	Ser_11_ratio	Ser_12_ratio	Ser_13_ratio	Ser_14_ratio	Ser_15_ratio	Ser_16_ratio	Ser_17_ratio	Ser_18_ratio	Ser_19_ratio	Ser_20_ratio	Ser_Bulk_ratio	MII_2D_ratio	MII_5D_ratio
Man2a1	0	0	0	0	0	0	0.25	0.25	0.5	0	0.25	0.75	0.25	0	0	0.75	0	0.25	0.25	0.25	0	0	0	0	0.5	0	0	0.25	0	0	0	0	0	0	0	0.25	0	0.75	0	0	0	0.25	0	0	0	0.25	0	0	0
F930015N05Rik	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0	NA	NA	NA	NA	NA	0	NA	NA	0	NA	0.25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0.75	1	1
4931406P16Rik	NA	1	1	NA	NA	1	0.5	1	NA	NA	NA	1	1	0.5	NA	1	NA	NA	NA	0.25	0.25	0.25	NA	NA	NA	0.25	NA	NA	0.75	0.5	1	0.25	1	1	NA	1	NA	NA	NA	1	0.5	NA	1	0.75	1	0.75	0.75	1	1
Mir302d	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	1
Mier1	NA	1	1	NA	1	1	0.75	NA	NA	NA	NA	0.5	0.75	0	0.25	0	0.5	0	NA	0	0	0.25	0	0	0	0	0.5	0.25	0	0.25	0	0	0	0	0	0	0	0.25	0.25	0	0	0.25	0.25	0	0.25	0	0	1	1
Mier2	0	0	0	0	0	0	0	NA	0	0	0.25	0	0	0.5	0.75	0.25	0.5	0.25	0	0.25	0	0	0.5	0.5	0	0	0.75	0.75	0	0	0	0	0.5	0.25	0.25	0.25	0	0.5	0.25	0.25	0.25	0.5	0	0	0.25	0.25	0.25	0	0
Mier3	0	0	0	0.5	0	0.75	0	0.25	0	0.25	0	0.25	0	0.25	0.25	0	0.25	0.25	0.25	0	0	0	0.25	0.75	0	0	0	0	0	0	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.75	0.25	0	0.25	0	0.25	0.25	0.25	0.25	0	0	0.25
Aqp11	0.25	0.25	0	0.25	0	0	0.25	0.75	0.25	0	0.25	0.5	0	0.25	0.25	0.25	0.25	0.75	0.25	0.5	0.25	0.5	0.25	0.25	0.25	0	0.25	0	0.25	0.5	0.25	0	0.25	0.75	0	0.25	0.25	0.25	0.25	0	0.25	0.25	0.25	0.75	0	0.5	0.25	0.25	0
Aqp12	0	0.25	0	0.25	0	0	NA	0	0.5	0	0	0	0.25	0.25	0.75	0.75	0.75	0.5	0	0.75	0.25	0.5	0.25	0.25	0	0.25	1	1	0.75	1	0.75	0.5	NA	1	1	1	1	NA	1	1	0.5	0.75	1	1	1	1	0.75	0.25	0
1810010H24Rik	0	0	0	0.25	0	0	0.5	0	0	0	0.25	0	0	0	0	0	0.75	0.5	0.5	0	0.25	0	0	0	0	0	0.75	0.25	0.25	0.5	0	0	0.25	0	0.25	0	0.5	0.75	0.25	0	0.25	0	0.25	0.75	0.25	0.25	0.25	0	0
Tubal3	NA	0	0.25	NA	0	0.25	NA	0	0	0	NA	NA	0.25	0	0.75	NA	NA	NA	1	0.25	NA	1	0.25	0.25	NA	0.25	1	1	NA	1	NA	0.5	0.5	1	NA	1	NA	NA	0.5	1	NA	NA	1	1	1	NA	0.75	0	0
Dag1	0	0	0	0.25	0	0	0.25	0	0.25	0	0	0.25	0.25	0	0.25	0	0	0	0.25	0.25	0.25	0	0	0.25	0	0	0.5	0.25	0	0	0.75	0	0	0	0	0	0.25	0	0.5	0	0	0	0	0	0	0.25	0	0	0
Myadm	0	0	0	0	0	0	0	0	0.25	0	NA	0	0.25	0	0.25	0	0.25	0.25	0	0	0	0	0.25	NA	0.25	0	0.75	0	0.5	0	0	0	0	0.25	0	0	0.25	0.25	0	0	0	0.25	0.25	0	0.25	1	0.25	0	0
Gm15008	0	0.25	0.5	0	0	0.25	1	1	1	0.25	0.25	0.5	0.25	1	1	0.25	1	0.5	1	1	0.25	0.75	0.5	NA	NA	0.25	NA	1	1	0.75	0.5	0.5	1	1	1	1	0.75	1	1	1	1	1	0.75	1	0.75	0.75	0.5	0	0
Sacs	0	0	0	0	0	0	NA	NA	0	0	NA	0	0.25	NA	0.5	0	0	NA	0	0.75	0	NA	0	0	NA	0.25	NA	0.25	0	1	NA	0.75	0.5	1	0.75	0.25	1	0.25	0.75	0.25	NA	0.25	0.25	1	NA	1	0.5	0	0
Zfp712	0	1	0.25	0.25	0	1	0	NA	0	0	0.25	NA	0.25	0	NA	0.25	NA	0.25	0	0	0	0	0.25	0.25	1	0	0.75	1	0	0	0.25	NA	NA	NA	0	NA	NA	0	NA	0	0	0	0	0.5	0.5	NA	0.25	1	0.25
Zfp710	0	0	0	0	0	0	0.5	0	0	1	0	0	0	0	0	0	0	0	0.25	0	0.25	0	0.25	1	0	0	0.25	0.25	0	0	0.5	0	0	0	0	0	0	0.5	0.25	0	0	0	0	0.5	0.25	0.25	0	0	0
Zfp711	0	0	0	0	0	0	0	NA	0	NA	0.25	0.25	0	0	0	0	0.25	NA	0.25	0	NA	0.5	NA	NA	NA	0	NA	0	0	NA	NA	0	0	NA	NA	0	0.75	0.5	NA	0	0	0.5	0	0	0.5	0	0	0	0
Zfp715	NA	0	0	0	0.25	NA	NA	0.25	0.25	0	0	1	0	NA	0.25	1	1	0	0.5	0	0.25	0	0	0	0	0	1	NA	0	0	0.75	0	0.25	0	0	0.5	0	0.25	1	0	0	0.25	0.5	0	0	0	0.25	0	0
Mllt4	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0.25	NA	NA	0	0	NA	0.5	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.25	NA	NA	NA	1	0.25	1	0.5	NA	1
Mllt6	0	0.25	0.25	0	0	0.75	0	0.25	0.25	0.25	0.5	0	0	0.25	0.75	0.25	0.25	0.5	0.25	0	0.25	0	0.75	0	0.5	0	0.25	0.25	0.25	0.25	0.5	0.25	0.25	0.25	0.25	0.25	0.25	1	0.25	0	0.5	0.25	0	0	0.25	0.25	0	0.5	0
Zfp719	0	0	0	0	0	0	NA	NA	0	0.25	0	0	0	NA	NA	NA	0	0	NA	0.25	0	0.5	0	0	NA	0	NA	0.25	0.5	0.25	NA	0.25	NA	0	0	NA	0	0	0	0.25	0	NA	0.25	0	NA	0	0.25	0	0
Mllt1	0	0.25	0	0	0	0	0.5	0	0	0	0.5	0	0	0	0.25	0	0	0.25	0.5	0.25	0	0.5	0	0.25	0	0	0	0.25	0	0	0	0.25	0.25	0.5	0	0.75	0.25	0	0.25	0	0.75	0.25	0	0.5	0.25	0.5	0	0	0.25
Mllt3	0.25	0	0.25	0.75	0.25	0	0.25	0	0.25	0	0.25	0.25	0	0	0.25	0.25	0.5	0.25	0.5	0	0.25	0.25	0.25	0	0	0	0	0	0	0.5	0.25	0.25	0	0.5	0.25	0.25	0	0.5	0.25	0	0.25	0.5	0.5	0.5	0.25	0.25	0	0	0
Btg4	NA	0	0	NA	0	0	NA	0	NA	0	0	NA	0.25	1	NA	0.75	1	0	NA	NA	0.5	0	NA	NA	0.5	0.25	NA	NA	NA	1	1	0.75	NA	NA	NA	NA	NA	NA	NA	1	NA	0.75	NA	NA	NA	NA	0.75	0	0
Btg3	1	0.75	0.75	1	0.5	1	NA	1	NA	NA	1	1	0.5	NA	0	0	0	0.5	0	1	NA	0.25	0	0.5	0.5	0	0.5	0	0	0	0	0	0.25	0.25	0.25	NA	0.25	0.25	0	0	NA	0	0	0.5	1	1	0.25	0.75	0.75
Btg2	0	0	0	0	0	0	0.25	0	0	0	0.75	0	0	0.25	0	0	0	0	0	0	0	0	0	NA	0	0	0.75	0.25	0	0.25	0.25	0	0.25	0.25	0	0.25	0.75	0.25	0	0	0.5	0.25	0.25	0.25	0.25	0	0.25	0	0
Btg1	NA	0	0	0	0.25	0	0.25	NA	0	0	0.25	0.5	0.25	0	0	0	0	0	0.25	0	0	0	0.25	0.25	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0.25	0.25	0	0	0	0.75	0	0	0	0.25
Smok3a	NA	0	0	0	0	0.25	0	0	0	0	0	0	0.25	NA	1	NA	0.25	NA	0	0.5	0	0.5	0	0.5	0.75	0.5	1	NA	0.5	0.75	1	0	0	1	1	1	1	NA	0.75	0.75	1	0	0.75	1	1	0.5	0.75	0	0
Smok3b	0	0	0	NA	0	0.25	NA	NA	0.25	0	0	0.25	0	1	0	1	0.5	0	0.25	1	NA	0.25	0.25	NA	0.5	0.5	1	NA	0.5	0.75	0.75	0.25	NA	1	0.5	0.75	1	1	0.5	0.75	0.75	1	1	0.5	1	1	0.75	0	0
Nupl1	0	0	0	0.25	0	0	0.25	0	0	0	0	0.25	0	0	0.25	0.25	0.25	0	0	0.5	0.25	0	0.25	0	0	0	0	0.25	0	0	0.25	0.25	0	0	0.25	0	0.75	0.5	0.25	0	0.25	0	0.5	0.5	0.25	0.25	0	0	0.25
Nupl2	0	0	0	0	0	0	NA	0	0	NA	NA	NA	0	0	NA	NA	NA	0	0	NA	0	NA	0	0	0.5	0	1	NA	NA	0	1	0	NA	0	0	0	NA	0	NA	0	NA	0	0	NA	0	NA	0.25	0	0
Hoxd3os1	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0.75	0	0	NA	0.25	NA	NA	0	0.5	1	0.25	1	0.5	0.75	0.25	NA	NA	0.75	NA	0.25	0	0	0.5	NA	0.75	1	NA	NA	0	0.5	0	0.5	0	0
Ttc30a2	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	NA	0.75	0.25	0	0	0	0.25	0	0.25	0.5	0	0.25	0	NA	0.25	0	0.5	0.25	0	0.25	0.25	0.25	0	0.25	0.25	0.5	0.75	NA	0.5	0.25	0.25	0	0.5	0	0
Npat	0.25	0	0	0	0	0	0	0	0	0.5	0	0	0.25	0	NA	0.25	0.25	0.25	0	0	0	0	0	0	0	0	0	0	0	0.75	0	0	0	0	1	0	0	0.25	0.25	0	NA	0	0	0	0	0	0	0	0
Ttc30a1	0	0	0	0	0	0	0.5	0	0	0	NA	0	0	0	0	0.25	0.75	0	0	0	0	0	0	0.5	0	0.25	NA	NA	0.25	0	0	0	0.25	0.5	0.25	0.25	0	0	0.5	0.25	0.25	0.75	0.25	0	0.5	0.5	0.25	0	0.25
Gga1	0	0	0	0	0	0	0.75	0	0.5	0.25	0.25	0.25	0	0	0.5	0.25	0.25	0	0.75	0.5	0.5	0.25	1	0.25	0.25	0	0.5	0.5	0	0	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.5	0.25	0.25	0	0.25	0.25	0.25	0.25	0.5	0	0	0
Gga3	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.5	0	NA	NA	NA	NA	1	0	0	0.5	NA	NA	NA	NA	NA	0	0	0.25	0.5	NA	NA	0	0.5	1	NA
1700018C11Rik	NA	0	0	NA	0.5	0.5	NA	0	NA	NA	NA	NA	0.25	NA	0.25	0.75	0	0	0	0.5	0	NA	NA	0	0.5	0.25	0	NA	1	0.5	0	0	NA	NA	1	NA	1	NA	NA	NA	1	0.25	NA	1	0.5	0.5	0.75	0	0.5
Sorbs1	0	0	0.25	1	0	0.25	0	0.25	1	1	1	1	0.25	0.25	0	0.5	0	0	0	0	0	0	0.5	0.25	0.5	0.25	0.75	1	0	0.5	0.25	0	1	0	0.25	0.25	0.5	0.25	0.5	0.25	0	0.25	0.25	0	0	1	0.5	0	0
Sorbs3	1	1	1	1	1	1	1	1	1	1	1	1	1	0.25	0.25	0.25	0.25	0.25	0.25	0.25	1	0	0.25	0	0	0.25	0.5	0.25	0.25	0.25	0.5	0	0.5	0.25	0.25	0.5	0.25	0.5	0.25	0.5	0.25	0.25	0.5	0.75	0.75	0.25	0.5	1	1
Sorbs2	NA	0.25	0.25	NA	0	1	NA	0.5	NA	NA	0	0	0.25	0	NA	0.5	0	1	0	0.25	0	0	1	NA	0.5	0.25	1	1	1	1	0.5	0	1	1	0	NA	0.5	NA	0	0.25	0.5	1	NA	1	1	NA	0.75	0.25	0
Tshz2	0	0	0	0	0	0	0	0	0	0	NA	NA	0	0.25	NA	0	0	0	0.25	0	0.25	0.25	0	NA	0.25	0	0.5	0.5	0	NA	0.25	0	0.5	0	1	0.25	NA	0.5	0	0.5	0.75	0.25	1	0.75	0.25	0.25	0.5	0	0
Tshz3	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0.5	0.25	0	0.25	0.25	0.25	0	0	0	0	0	0	0	0.25	0	0.75	0.25	0.25	0	0	0.25	0.25	0	0	0.25	0.25	0.5	0.25	0	0	0	0
Murc	0	0.25	0	0	0	0.25	NA	NA	NA	NA	0	0	0.5	0.5	NA	1	NA	0	NA	1	0	1	0.75	0.5	0.25	0.25	NA	NA	0.5	1	NA	0.75	1	1	1	NA	1	0.5	NA	1	1	NA	1	0.75	NA	1	0.75	0	0
Speer4d	0	0	0.25	NA	0	0	NA	1	0	0	0.5	0	0.25	0.25	0.5	0.75	0.25	0.5	0	0.25	0	0.5	0.25	0	0.25	0.25	0.75	0.75	0.5	0.5	0	0.25	0.75	1	0.5	0.75	0.5	NA	0.5	0.75	0.5	0.5	0.75	1	0.75	0.5	0.75	0.25	0.25
Speer4e	0.5	0	0.5	1	0.5	0.5	1	NA	0.75	0.5	0.75	1	0.75	0.75	1	1	0.5	0	0	0.5	0	0.5	0.5	0	0	0.25	1	1	0	1	0.75	0.25	1	1	NA	0.75	1	NA	0.5	NA	0.5	NA	1	NA	0.75	1	0.75	0.25	0.75
Speer4f	NA	0.75	0.5	NA	0.25	0.5	NA	0.25	0.75	NA	NA	0.5	0.5	0.5	NA	0	0	0.5	0.5	1	0.5	0	0.5	0	0.5	0.5	NA	1	0.5	1	0.5	0.25	0.5	NA	0.25	1	0.75	NA	1	0.5	NA	0.75	1	0.5	NA	NA	0.75	0	0.5
Speer4a	0	0	0.25	0.25	0	0.5	NA	0	0.25	0	NA	0	0.25	0.75	0.25	1	0.5	0.5	0.25	0.25	0	0.25	0.5	0	1	0.25	0.75	1	0.5	0.75	0.5	0.25	1	1	0.5	0.75	0.5	0.75	0.75	0.5	0.75	0.75	0.75	0.75	0.75	0.5	0.75	0	0
Speer4b	0.5	0	0.25	0	0	0	0	0.5	NA	0.5	NA	1	0.25	0.5	0.5	0.5	0.5	0.75	0.5	0.75	0.25	0.75	0.75	0	0.5	0.25	0.75	0.75	0.5	0.5	0.75	0.5	1	1	0.75	0.75	1	1	1	0.75	0.75	1	1	1	0.75	0.75	0.75	0	0.25
Speer4c	0.5	0	0.25	0	0.25	0	NA	0.5	0.25	0.25	NA	0.25	0.25	0.75	0.5	0.75	0.5	0.5	0	0.25	0.25	0.25	0.25	0.25	0.75	0.25	1	0.75	0.25	0.75	0.25	0.25	1	0.75	1	0.75	0.75	NA	0.75	0.75	0.75	0.5	0.75	0.75	0.75	0.5	0.75	0	0.25
Arhgef28	0	0	0	0.25	0	0	0.25	1	0.25	0.5	0.75	0	0	0	0.75	0	0	0.5	0.25	0	0.75	0.25	0.25	0.25	0	0	0.25	0.25	0	0.25	0.25	0	0.25	0.25	0	0.75	0.25	0.5	0	0.25	0.25	0.25	0.75	0	0	0.5	0.25	0	0
LOC102632430	NA	0.25	0	1	0.75	0.25	0.25	0	NA	0.25	0.5	0	0.5	1	NA	NA	NA	0.25	NA	NA	0	0.25	1	0	0.25	0.25	1	NA	0.75	0.25	1	0.25	NA	NA	NA	1	1	1	1	0.75	0.5	1	NA	0.75	0.5	1	0.75	0	0.25
Trnt1	0	0.5	0.25	0	1	0.25	0	0.5	0	0.25	0	0	0.25	0	0.5	0	1	0.5	0.75	0	0.25	0	1	0	1	0	1	1	0	0	0	0	1	0.25	1	1	0	1	0	0.5	0	1	0.75	0	0	0	0.25	0.75	0.25
Arhgef26	0	0	0	0	0	0	0	0.25	0	0.25	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0.25	0	0	0	0	0.5	0.25	0	0	0.75	0	0	0	0	0	0.25	0	0	0.25	0	0
Mkl1	0	0.25	0	0	0.25	0	0	0	0.25	0.25	0.25	0	0.25	0	NA	0	0	0	0	0	0	0	0	0	0.25	0	0.25	0.25	0	0.25	0	0	1	0	0	0	0.25	0	0	0	0.75	0.25	0.5	0	0.25	0	0.25	0.25	0.25
Mkl2	0.25	0	0	0	0.5	0.5	NA	0	0	0.5	0.5	0	0.25	0	0.75	0.25	0.25	0.75	0	0	0	0	0.25	NA	0.5	0	0.5	0	0.25	0	0.25	0.25	1	0	0	0.25	0	1	0	0.25	0.25	0.25	0	0	0.25	0.25	0.25	0.25	0.5
Lmna	1	1	1	1	0.75	1	0.25	1	1	1	NA	1	1	0	0.25	0.5	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0.25	0.5	0	0.25	0.25	0.25	0.25	0	0.25	0.25	0.25	0	0	0	0.25	0.25	0.25	0.25	1	0.75
Fndc3c1	0	0	0	NA	0	0	0	NA	0.25	NA	0	0	0	0.75	NA	0.75	NA	0.25	NA	NA	NA	0	0.75	NA	0	0	NA	NA	0	0	NA	0.75	NA	0	0	0	0.25	NA	NA	0.5	NA	0.25	0	0.5	0	0	0.25	0	0
Zdbf2	0.25	0	0	0	0	0.25	0	0.5	0	0	0.75	0.5	0.25	0	0	0	0	0	0.75	0.25	0.75	0.25	0.25	0	0.25	0.25	0.75	0	0	0	0.25	0.25	0.75	0.25	0	0.25	0.5	0.25	0.25	0	0	0.25	0	0.5	0.25	0.25	0.25	0	0.25
Sorcs1	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	NA	0	0.25	0	0	NA	0	0	0	0	NA	0	0	0	0	0	NA	0	0.25	0.25	0	0	0	NA	0	0	0.25	0	0	0	0.5	0.25	0.25	0	0
Sorcs2	0	0	0	0	0	0	0.75	0.25	0	0	0.5	0.25	0	0	0.25	0.5	0	0	0.25	0	0	0.25	0.25	0.25	0	0	0	0.25	0	0	0.25	0.25	0.25	0.25	0.25	0	0.5	0.75	0.25	0.25	0	0.25	0	0.75	0.25	0.25	0	0	0
Sorcs3	0	0	0	0	0	0	0.25	0	0	0.5	0	0	0	0.25	0.25	0.25	0.25	0.25	0.25	0	0.25	0.25	0.25	0	0.75	0	0.25	0.25	0	0.25	0.25	0	0.25	0	0.25	0.5	0.25	0.75	0.25	0	0.5	0.25	0.25	0.25	0.25	0.25	0.25	0	0
Trim34a	0	0	0	NA	0	0	NA	0	NA	NA	NA	NA	0	NA	0	NA	NA	0.25	NA	NA	0	NA	NA	NA	NA	0	0.25	0.25	0	NA	NA	0	0.25	NA	0.25	1	0.25	NA	NA	1	0.25	0	1	NA	NA	NA	0.25	0	0
Trim34b	0	0	0	NA	0	NA	NA	0	1	0	0	0	0.25	1	1	0.75	NA	NA	NA	0.5	NA	NA	NA	NA	NA	0.25	1	NA	NA	NA	1	1	NA	NA	NA	NA	NA	1	0.5	1	0.5	0	NA	0.5	1	1	0.75	0	0
Prepl	0	0.25	0	0.25	0	0.25	0	0	0	0	0	0.25	0.25	NA	NA	1	0.25	0	0	0	0.5	0	1	0.25	0.5	0	0	0.25	0	0	0.5	0	0	0	0.25	0	0.25	0.5	0.25	0	0.25	0	0.25	0.25	0	NA	0.25	0.25	0
4933412E24Rik	0	0	0	NA	0	0	0	0	0.25	0	0	0	0	0.5	0.75	0.5	0	1	0	0.5	0.25	0.75	1	NA	0	0.25	1	NA	0.5	NA	0.75	NA	0.75	0.75	0.5	1	1	NA	NA	0.75	NA	0.75	1	1	1	0.75	0.75	0	0
Cdhr1	0	0	0.25	NA	0	0	0	0.5	0.25	0.25	0.75	0.5	0	0	0.5	0.25	0.25	0	0.5	0.25	0.25	0.25	0.25	1	0.25	0	0.75	0.5	0.75	0.25	0.25	0.25	0.75	0.75	1	0.5	0.5	1	0.75	0.25	0.75	0	0.25	0.25	0.25	0.25	0.25	0	0
Cdhr2	0	0	0	0	0	0	0	0	0	0	0	0.25	0.25	0.25	0.5	NA	0	1	0	0.5	0	0	0.25	0	0.5	0.25	NA	1	0.5	0.75	NA	0.75	NA	0.75	0.75	1	1	1	1	0.75	1	0.75	1	0.75	0.75	1	0.75	0	0
Cdhr3	0	0	0	0	0	0	NA	0.25	0	0	0	0	0.25	0.5	1	0	0.25	0.5	0	NA	0	0.25	0	0	NA	0.5	1	0.75	0	1	0.75	0	0.75	NA	0.5	1	0.75	1	0.5	0.5	1	0.25	0.75	NA	1	0.5	0.75	0	0
Cdhr5	0	0	0	0	0	0	NA	NA	0	NA	0	NA	0.25	0.25	0.5	0.5	0.5	0.75	0	NA	0.25	NA	NA	NA	NA	0.25	1	1	0.75	1	0	0.5	NA	1	1	0.75	1	NA	0.5	1	0.25	0.75	0.75	1	0.75	1	0.75	0	0
Tcof1	0	0	0.25	0.25	0	0.5	0	0	0.5	0	0	0	0.25	0	0.5	0.5	0	0	0	0	0	0	NA	0.5	1	0	0	0	0	0	0.25	0	0.25	0	0	0.25	0.5	0.5	0	0.25	0.25	0.25	0.25	0.25	0	0.25	0.25	0	0
Gm3279	0	0	0.25	NA	0	NA	NA	NA	NA	NA	0	0	0	NA	NA	1	NA	NA	NA	0.25	NA	NA	NA	NA	NA	0.5	1	1	0	1	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	0.75	0	0
Prmt10	0	0	0	1	0	0	NA	0	0	NA	NA	0	0	NA	0	0	0	0	0	0	0.25	0	0.5	0	0	0	1	0	0	0	1	0	0	NA	NA	0	0	NA	0	0.5	0	0	0	NA	1	0	0.25	0	0
Olfr523	0	0	0	0	0.25	0	0	0	0	NA	0	0	0.25	0.75	0.75	0.25	NA	NA	0	0	0.5	0.25	0.5	1	0.75	0.5	1	NA	NA	1	0.75	0.25	NA	1	0.75	1	1	0.5	0.75	0.75	1	1	NA	0.75	1	0.75	0.75	0	0.25
Olfr522	0	0	0	0	0.25	0.25	0	0	0.75	0.25	0	0.25	0	0.75	0.5	0.75	0.25	0.75	0.25	0.5	1	1	0.5	NA	NA	0.25	1	1	NA	1	1	0.25	1	1	0.75	1	1	0.75	1	0.75	1	0.75	1	1	0.75	0.75	0.75	0	0.25
Olfr521	0	0	0	0	0	0	0	0	0	0	0.5	0.25	0.25	0.5	NA	1	0.5	1	0	0.5	0.5	0	0.25	0.5	1	0.5	1	NA	0.25	1	0.75	0.5	0.75	0.75	1	1	0.75	1	0.75	0.75	0.75	0.75	1	0.75	1	1	0.75	0	0
