mES_Serum_r1	mES_Serum_r2	mES_2i_r1	mES_2i_r2	mES_2i3p_r1	mES_2i3p_r2
Gm20172	0	0.0363086	0.0906482	0.208085	0.0172502	0.0235686
Gm597	0	0	0	0	0	0
Phf3	28.9115	0	22.3276	23.8306	0	26.8339
Pih1d3	0	0.0903419	0	0	0	0
Gm4850	0	0	0	0	0	0
Khdrbs2	0	0	0	0	0	0
Gm9839	0.0856144	0	0	0	29.3261	0
Gm5415	0	0.00651362	0	6.87048	0	0
4931428L18Rik	0	0.0113477	5.78658	33.7812	0	19.5866
Lgsn	0	22.0714	31.0442	0	0	1.95965
1700001G17Rik	0	0	0	0	0.132736	0
Prim2	18.5369	23.0385	0	0	19.691	0
Bag2	3.27033	1.70943	0	0.321422	3.06566	0
Rab23	8.82352	23.3019	3.01071	25.3736	0.553944	7.80102
Bend6	0.907128	4.76848	28.5297	5.07407	0.350765	0.723963
Gm15455	0.408027	9.47242	1.39095	9.24419	9.75595	0.29056
Zfp451	17.0998	0.308	0.171838	0.196628	12.1705	12.3518
Ptp4a1	10.3438	16.0861	8.43714	14.5088	10.3922	7.99235
Gm13363	52.5	6.137	12.6084	1.69392	34.3942	36.6589
Mir5103	0	0	0	0	0	0
Ccdc115	8.63835	23.6808	11.802	8.68243	12.7916	11.7034
Prss40	0	0.938859	20.4775	0	0.200267	0.184838
Prss39	0	0.0308174	0	0.48392	0	0
Imp4	22.7456	0.00774969	0	18.8079	0	0
Amer3	0	0.15391	0	0	0	0
Ptpn18	0.693446	0	0	0.21173	0	0
Cfc1	0.127047	0	0.354844	0	0	29.9115
AA619741	0.0425372	0.935402	0.770519	0	0.437935	0.651523
Arhgef4	1.25672	54.0255	0	0.792892	28.0673	0
Plekhb2	5.51183	3.29258	10.5684	10.2852	10.5161	7.33216
Hs6st1	13.8647	24.6582	4.34413	5.42668	19.5688	24.1092
Neurl3	0.0442068	23.8953	21.9045	13.6243	29.0803	11.1953
Fam168b	14.6064	0.121666	12.8925	26.8121	0.0384982	0.0528969
Arid5a	0.748987	12.0959	0.10165	0.0929419	0.855422	16.8491
Dst	14.7213	1.1469	8.22064	0.325182	4.34824	8.1848
Uggt1	13.8427	8.03446	0.266234	8.93283	0.928699	0.529856
Kansl3	11.7001	15.8474	4.0726	3.28117	10.0373	3.05503
Lman2l	4.79087	2.81134	12.5779	2.05967	0.261401	0.997937
Cnnm4	1.67845	1.61653	1.98313	12.8066	14.5551	0.576786
Ankrd23	0.962927	14.7209	0.830891	0.75762	1.90765	5.17639
Ankrd39	2.39806	3.33197	3.63068	1.67573	1.14567	1.67662
Sema4c	0.933293	2.46594	2.45311	1.10588	5.71001	0.766925
Cnnm3	3.79328	7.88677	0.804238	10.3263	21.0611	10.0322
Fam178b	6.91315	17.1271	7.67692	4.56298	10.9641	19.1346
4933424G06Rik	0	1.0902	0.490119	0.335574	0	229.284
Zap70	0.532663	0.0347786	0	0	230.76	0.701578
Cox5b	190.708	57.9493	24.8292	26.7851	0.555864	0
Actr1b	24.9013	388.765	291.111	322.666	30.0488	25.9181
Cnga3	0.63783	1.14269	0.51305	1.07451	0.556542	0.381262
Inpp4a	1.25739	1.68531	0.439486	1.00895	0.719337	1.01491
Coa5	22.084	14.2801	20.375	16.2632	12.5498	0
Unc50	13.7218	19.7223	20.1598	21.093	0.0441198	3.37198
Tsga10	0.295851	0.433461	15.5037	20.6902	0.286785	13.8487
2010300C02Rik	0.479856	0.26171	3.4164	0.41528	3.99079	0.275112
Lipt1	3.82609	4.89941	0.580255	4.90349	28.1879	15.4956
Mitd1	11.1403	2.21303	0.679952	0.638743	1.21905	0.909638
Mgat4a	1.4662	0.113472	1.19566	16.1421	0.0538645	0
4930594C11Rik	0.041215	8.55232	0	1.26028	14.6416	30.231
Tmem131	46.6783	0	19.4991	0	29.0282	24.5449
Lyg2	0	0	0	0	0	0
Lyg1	0	42.5691	0	0	0	0
Mrpl30	54.8377	79.7379	72.1719	69.4534	72.8845	60.8869
Txndc9	10.1341	10.367	14.1304	14.0569	12.8212	12.1368
Aff3	4.15025	0.376412	0.1979	1.13814	0.373983	0.374083
Lonrf2	0.279987	2.13407	0	1.44862	1.10027	0
Nms	0	0	0.954622	0.0908284	0	0.94848
Chst10	1.40601	2.46084	1.65737	0	0.414112	0.128642
Npas2	0.0528161	0.0647399	29.7682	0.166948	0.184499	19.773
Pdcl3	22.6692	30.6833	15.0697	28.9597	19.9661	0.0315581
Eif5b	33.5712	26.805	0.0606764	17.081	27.6525	29.936
Rev1	12.0139	13.9119	22.4573	24.5594	11.0634	10.8481
Snord89	0	27.5578	0	17.5483	0	0.0702338
Cnot11	16.6035	16.8226	14.9912	0	25.1222	0
Gm3646	0	0.0357997	0	0.0395581	0	0.0671943
1700066B17Rik	0	0	18.1035	0	0.0509464	21.4669
Creg2	0	0	0	0	0.0327946	15.7734
Rfx8	0.1759	0.011504	0.0430745	13.5012	0	0
Rnf149	16.3676	24.7287	0	0.123043	15.5836	0
Rpl31	526.666	0	0	0	0.523995	0.650386
Tbc1d8	1.14148	0	0	0	1.71969	0
Il1rl2	0.180965	0.0563989	0	581.421	0	0
Il1r1	0.439759	0.293565	0.21266	3.24478	0	1.60701
Gm16894	0	0.0202251	0.463917	0	0	0
Il1r2	0.0927396	0	0	0	0	0
Il18rap	0	0	0	0	0	0
Il18r1	0	0.0988632	0	0.390336	0.080435	0
Slc9a4	0	0	0	0.425067	6.41286	0
Il1rl1	2.38093	0	0	28.8503	0	0.426273
Slc9a2	0	4.81873	26.3006	0	0.46628	0
4930448I06Rik	0	0.0684697	0	0	0	5.83524
Mfsd9	0.384984	0.0449886	0	0	0.0557386	30.4532
Tmem182	0.118697	0.370999	0.245809	0	0	585.19
Map4k4	28.1024	0.0121973	0	0.375139	495.09	3.23237
Pou3f3	0	0	0.16894	0	3.64227	0.114554
2610017I09Rik	0	30.855	0	0	0.160197	0.0476876
2900092D14Rik	0.039866	2.96838	2.34976	0.231999	36.2315	0.175787
Gpr45	0	2.22252	56.649	0	0	0
Mrps9	38.2328	5.62715	586.36	4.89615	46.2284	47.3526
Tgfbrap1	2.89189	353.839	2.4511	2.48953	2.33901	2.18528
Fhl2	1.47479	1.5289	1.42993	1.13743	2.28631	1.30351
AI597479	8.78414	50.4475	6.53142	52.6883	6.53707	6.75663
1500015O10Rik	0.155302	7.69368	0.358832	0	0.132928	5.52797
Uxs1	7.7851	0.609452	6.20513	6.79496	6.91243	0.374719
Nck2	4.62093	15.0256	8.16703	11.3548	14.6055	12.8313
Mettl21c	0	0.0363901	0	0	0	0
Tex30	14.9429	13.9228	13.5474	14.3488	9.97678	13.5249
Tpp2	32.5542	9.04004	13.1274	13.7643	11.3147	12.2389
Kdelc1	13.6488	4.01309	6.30935	27.4802	5.5539	6.26563
Bivm	8.26749	0	0	7.03017	0	7.22132
Mettl21e	0	20.1611	24.3601	0	6.85376	0
Ercc5	6.40101	7.19409	13.028	11.7427	26.7814	24.5756
Gulp1	3.45052	0.510569	1.22031	1.83504	1.81797	2.53964
4930521E06Rik	0	0	0	0	0	0
Col3a1	4.13077	4.97735	6.82701	5.92125	105.473	91.5572
Col5a2	6.17427	10.1609	12.4561	10.9008	44.5978	31.449
Gm4776	0	1.05343	0.456168	0.208946	0.346304	0
Slc40a1	1.35628	0	0	0	0	0.0516386
Dnah7b	0.077882	55.093	0.0198676	47.7947	0.0227352	0.395505
Wdr75	52.5596	0.0212587	40.9206	0	49.4467	43.8683
Slc39a10	10.8774	17.4596	0.154054	0.211675	0.0292352	0.0801412
Tmeff2	0.368653	0.14366	11.9283	18.6548	16.7171	16.632
9330175M20Rik	0	10.526	17.537	14.9865	13.5299	10.2646
Sdpr	1.69572	0	0	0	0	0
Nabp1	14.4081	1.2975	0.593165	0.310308	2.92477	2.29249
Stat4	4.73116	3.75288	2.26219	2.7078	2.95302	2.48977
Myo1b	12.1198	8.51653	8.62315	10.3423	16.0407	14.4639
Stat1	3.9193	4.49794	4.96014	5.05468	1.93444	1.41187
Nab1	2.25633	2.20727	0.307689	20.4931	13.8985	0.482735
Inpp1	1.54388	6.25624	0.772511	1.99373	0.341478	13.5109
Gls	20.1793	14.4749	2.27071	0.436185	0.465979	0.329578
Tmem194b	4.01811	2.38407	3.51468	0.422127	2.26988	1.79798
Mfsd6	1.42529	2.3338	19.7852	2.86205	15.6295	11.7055
Hibch	20.1697	0.302334	0	0	0	0
Mstn	0	0	19.2519	0.5185	10.4839	0
1700019D03Rik	34.9453	0.453697	0	14.3213	0	15.9018
1700019A02Rik	1.51921	22.973	20.2951	23.414	15.1406	12.1326
Pms1	9.22003	5.48435	10.3368	9.70108	5.38047	6.26928
Ormdl1	9.9455	3.24798	8.54608	10.0916	9.52542	8.84242
Osgepl1	5.71952	6.13701	4.65672	4.89105	2.42191	2.66612
Stk17b	15.5524	0.125015	0	0.242085	24.6846	6.74359
Asnsd1	34.1896	24.3335	0.0657963	7.77132	7.78147	0.183073
Hecw2	0.563593	5.07547	6.28499	38.9894	0.0254452	0
Ccdc150	0.320641	0.363779	39.8765	0.0614038	0.157002	24.5569
Pgap1	3.7051	1.88139	15.8499	0.410159	0.309129	3.12354
Gtf3c3	19.8876	0.596388	1.54046	2.15594	3.46954	0.168862
Ankrd44	0.759998	17.4439	0.568319	15.8709	15.1787	15.7448
Coq10b	9.78899	6.5582	6.47845	7.07919	12.6182	12.4249
Sf3b1	67.472	55.0149	53.3996	62.5793	75.8457	72.6267
Mob4	17.9625	0.143627	0.27808	0.127436	0.818504	0.542428
Hspe1	255.126	7.43379	10.1704	3.71613	10.9304	0.462252
Mars2	3.80758	4.68418	2.88771	0.266139	5.8159	12.1105
Rftn2	0.272268	299.046	0	11.2175	0.66003	0.216972
Boll	0.383935	0.503819	0	352.454	0	5.21176
Plcl1	0.132142	0.0405407	0	0	0.260056	0
Hsfy2	0	0	0.332043	0.0627787	259.23	0.818868
Satb2	0.495601	0	358.883	0.0348522	0	337.458
BC055402	0	0.346926	1.55153	1.55465	1.57037	4.17068
4930558J18Rik	1.76622	0.74721	0.0684901	0	0.312174	0
9130024F11Rik	0.0596088	1.09601	0	0.479028	1.18844	1.20867
1700066M21Rik	2.4748	1.12461	2.09731	1.49916	3.49776	0.178128
Hspd1	211.82	0.932096	286.289	336.946	2.82615	2.15415
Spats2l	2.5662	7.58197	0.582561	0.593473	3.75887	3.06215
Tyw5	9.12569	16.8526	2.80821	4.03526	11.529	10.6723
9430016H08Rik	13.9477	5.39485	0.346397	7.93736	18.0508	16.6379
Kctd18	6.16569	0	0.116079	14.371	0.658476	0.540468
Aox4	0.066038	0.138627	0	0.159724	0.0769487	0.0788912
Aox3l1	0	0.0607416	9.37648	0.582575	0	0.784825
Aox3	0	0.0929069	12.8131	0	0.529565	0
Aox1	0.201027	14.6704	0	0	343.892	320.439
Sgol2	28.7607	409.148	23.11	23.7732	27.4861	26.7816
Ppil3	16.7725	21.4331	21.1688	21.5806	18.7687	19.5408
Nif3l1	9.13261	19.1567	20.4838	23.9559	18.4772	16.6373
Bzw1	108.687	30.1732	13.4972	15.4547	36.2892	38.9529
Clk1	42.3625	1.32679	113.168	132.653	1.87002	2.35894
Fam126b	2.12421	55.6733	1.30451	1.48614	58.0783	68.9024
Ndufb3	57.3986	120.998	87.8561	92.6061	166.395	0
Gm20257	0.12082	0.109546	0.334841	0	0	0.0582593
Als2cr12	0.0768799	0	0	1.51715	0.227874	157.66
Casp8	1.29694	38.3884	31.8333	0	35.8441	1.35654
Cflar	3.56953	0.722652	0.875415	34.6238	2.7377	1.90052
Als2cr11	0	1.99463	0.986143	1.22118	1.54506	34.8738
Orc2	41.6817	0	4.75049	4.29037	0	0
Stradb	4.38214	2.29792	0	0	2.77303	5.58363
Trak2	4.65813	6.90218	4.46675	3.45244	6.35388	2.92092
Tmem237	11.2089	9.96053	8.53774	10.7804	7.45957	5.65626
Cdk15	0.165808	0.0252376	0	0	0	0
Gm973	0.123907	0.0758993	0.0711876	0.173432	0.0540655	0.0370301
Fzd7	23.2493	23.3043	4.81741	6.58351	10.8946	9.53099
Mpp4	0.049142	0.0300385	127.68	3.32779e-91	1.62419e-118	0.0588247
Als2	9.14951	11.1981	1.70532e-183	6.82347	7.02577	6.46202
Sumo1	107.731	85.3067	7.35303	157.974	157.528	156.29
Bmpr2	3.88013	4.08105	0.0700468	1.74132	4.44023	4.03031
Ica1l	0.243847	0.102697	1.68112	0.32099	0.133011	0
Fam117b	4.27379	7.28433	3.48339	3.44773	7.69641	6.5162
Cyp20a1	6.34596	150.052	1.47595	141.604	1.9897	1.84979
Nbeal1	3.45208	0	10.3058	0	9.29827	7.80945
Nop58	186.467	0	123.963	0	130.323	132.457
Snord70	0	1.14929	0	8.08608	0	0
Snord11	0	9.68571	0	1.93439	0	0
Wdr12	29.1761	9.85877	5.06513	4.89323	8.23932	22.5464
Carf	2.01565	35.9718	6.36159	26.2036	22.8699	0.524308
Raph1	6.3647	0.978225	0	1.10556	0.954059	6.62875
Cd28	0	6.96638	26.0133	0	8.24866	8.55964
Ctla4	0	0	1.10831	6.02874	0.0222955	0.0305025
9530026F06Rik	0	0	0	0	0	0
Icos	0	0.0105472	0	0	0	0
Pard3b	0.128076	0.0628969	0	0	0	0
Abi2	14.1549	0	0.0588202	0.108148	0.145717	0.183481
Nrp2	3.05673	4.41475	1.30368	1.50578	4.28208	3.99639
4930487H11Rik	0	0.23204	1.10281	0.622064	7.84252	6.14544
Ino80d	6.02673	5.80953	0	0	0	0.185413
Ndufs1	54.8026	42.3643	0	63.0321	46.6838	53.0465
Gpr1	0.075386	0.252661	58.699	0.157858	0.130663	0.0904123
Zdbf2	12.9588	7.87865	4.07026	0	0	8.41291
Dytn	0	0	4.45872	0.293151	9.1015	0
Mdh1b	0.419694	0.0639784	0	4.58522	0	0
Gm13749	0	0	0.161022	5.01071	0	0
Adam23	14.4092	11.0729	0	0	2.26205	1.68402
Klf7	7.29179	4.74672	2.1542	3.12481	10.766	9.99262
Fastkd2	15.2666	25.0429	15.6136	15.7728	15.3604	16.2456
Mettl21a	2.86161	6.03941	6.31388	9.92835	1.97182	2.09515
2810408I11Rik	11.953	3.17437	2.9461	2.87404	6.94222	6.60418
Ccnyl1	13.1732	4.75599	4.36247	4.0696	14.5463	10.8584
Eef1b2	355.852	9.2382	8.79193	11.6227	5.70995	5.24981
Snora41	0	1.50964	0.777894	0.874081	1.59227	1.37802
Creb1	9.02596	350.361	4.09281	6.06927	342.53	363.053
Plekhm3	2.05768	55.45	418.36	434.903	0	0
Fzd5	9.31179	17.8961	0	0	22.3229	17.4164
Akr1cl	0	0	0	0	0	0
Crygd	0	0.207491	0	0	0	0
Cryge	0	0.146086	0	0	0	0
Cryga	0	0.519553	0	1.00672	0	0
Crygc	0	0.132893	0	0	0	0
Crygb	0	0.0523952	0	0	0	0
D630023F18Rik	0.692462	0.911211	0.24506	0	0.416898	0.382679
Pth2r	0.0476019	0.0145509	0	0	0	0
Crygf	0	0	0	0	0	0
Unc80	0.173012	21.1365	0.0361093	0.066448	0.0482158	4.58569
Idh1	23.8742	0.118343	3.76812	4.02704	2.32932	0
Pikfyve	6.25171	1.18653	4.12605	4.33746	5.56979	0.0750806
Map2	2.54648	4.56741	57.7434	57.8943	55.1005	10.0197
Myl1	0	12.8211	0	0	0	2.02636
Acadl	22.0917	0.457303	15.9408	0	9.86303	61.2694
Rpe	31.7215	0	0	18.7182	20.3579	22.2154
Kansl1l	1.56743	12.0163	0	24.6605	0.865335	1.34819
Cps1	0	0	18.6286	0.916493	0	0.190118
Erbb4	0	0.0158777	0.223157	3.14244	0	0.0278692
Ikzf2	0.216149	0.0143015	0.182852	0	0.199171	0
Vwc2l	0	0.234194	0	0.120099	0	4.60444
Spag16	0.328622	0.178108	0.125998	0	0	0.0655879
Lancl1	7.22703	0	3.58437	0.114994	5.08202	0
Abca12	0.0129166	8.00419	0	0	0	0.0308406
Bard1	9.8854	9.58155	6.29726	6.83701	11.3532	11.1862
Atic	58.3923	101.58	63.1897	72.1121	68.0365	63.5691
Gm8883	0	0.0649285	0	0	0	0
4933417E11Rik	0	0	0	0	0	0.128557
Apol7d	0.320826	0	0.49315	0	0	0
Tmem169	0.0805288	0.0369558	0.185138	31.9712	0.0350867	22.6569
Pecr	12.3996	22.9098	14.4197	0.169393	10.2268	9.59217
Mreg	27.893	50.9661	28.3199	15.0643	26.1048	0
March4	0	0	0	0	0.0230219	0
Ankar	0	0	0	57.4383	0	0
Smarcal1	3.80225	5.43743	4.47718	0	4.67885	4.04013
Xrcc5	58.2206	62.3374	49.664	4.14755	61.2119	55.0336
Rpl37a	468.581	0	0	107.139	3.08519	0
1700027A15Rik	0	0	115.685	0.587599	0	3.23819
Tnp1	0	0.353153	0	0	0	0
Igfbp5	0.259988	0	0.51185	0	124.614	92.7553
Pinc	0	0.00566514	0.764499	0	674.225	0
D530049I02Rik	0	0	135.921	0.793779	0	0.059884
Cxcr2	0	0	0	0	0	0
Rufy4	0.0500323	699.64	0	0	0	0
Cxcr1	0	0.0458819	0	145.813	0.0322758	0
Tns1	0.977388	2.65441	0	814.363	0	1.8846
Igfbp2	150.327	0.0816377	762.872	0	3.24403	607.831
Gpbar1	0.134901	254.37	0	0	0	0
Arpc2	68.0281	82.3409	0	0	93.9226	87.81
Gm216	0.0554958	0.186431	80.7166	87.1154	0.337708	0.539844
Slc11a1	0.551174	0.413427	0.383012	0.233013	0.610343	0.265841
Aamp	50.0308	43.6505	63.8915	0.631595	77.1031	69.3516
Pnkd	24.614	10.7389	0.57623	72.1668	15.7428	10.9049
Tmbim1	7.32312	99.164	6.67261	10.7473	0	0
Ctdsp1	9.74922	17.0696	0	0	41.0421	31.4669
Mir26b	0	0	30.7601	45.7981	13.8307	12.8654
Fn1	160.15	197.598	11.612	11.8668	5.7973	3.03044
Bcs1l	5.73831	9.77143	11.4753	7.06985	0.820645	9.11728
Stk36	0.37555	0.914874	6.26754	12.5067	12.7937	0.623066
Rnf25	9.54907	21.4857	0.527191	0.527974	0	232.561
Prkag3	0	0	9.65174	0	0	0
Cyp27a1	1.12465	1.00346	0.143783	0.655258	0.0981897	0.149727
Wnt6	0	0.128076	0	9.12604	0.0520727	0
Wnt10a	0	0.285986	0	1.77847	0.0348603	0.338239
Cdk5r2	0.546767	0.024478	0	0.530705	0.586242	0
Cryba2	0	0.310461	0	0.197398	0	0
Fev	0.0827729	0	2.33907	0	12.3201	0
Mir375	0	0	0	0	0	9.79179
Ccdc108	0	0.0291822	0	0	0	0
Ttll4	11.5651	0.100494	0.386809	0.503072	0.0408797	3.6601
Ihh	0.0469617	3.45227	1.66955	3.30092	1.98335	0
Nhej1	2.12056	7.60281	0.107998	0	0.0493586	0.352233
Slc23a3	0	0.0173407	0	4.45057	2.45819	0
Cnppd1	6.51433	25.4692	3.8159	0.119202	5.2156	1.83665
Fam134a	8.0455	12.0002	8.32518	8.45704	6.10186	3.42309
Zfand2b	4.95883	0.72882	0.0829256	2.79651	6.56921	4.17341
Vil1	0.288611	10.104	6.61457	4.57302	0.157289	6.26549
Usp37	10.396	46.1313	29.3403	5.18655	12.8225	3.80848
Rqcd1	35.7223	0.104495	0.490826	4.33558	42.7709	0.129428
Plcd4	0.0831127	9.90638	3.04435	0.851254	0.136357	12.001
Zfp142	4.50246	9.80282	5.10271	0.0759281	5.80819	40.621
Atg9a	2.79287	8.30948	2.50841	7.59816	4.91862	0.0497132
Abcb6	3.81321	7.45584	3.63037	35.3967	5.78883	4.6349
Ankzf1	4.75351	8.66991	4.31319	0.178943	1.78663	5.40944
Glb1l	1.14219	0.814374	0.694411	3.53162	0	1.89315
A630095N17Rik	0	0.0720589	0	0	0	0
Resp18	0.210967	0.189844	0	0	3.57742	0
Ptprn	4.54122	4.48007	1.52198	1.46106	3.3845	2.75214
Dnajb2	1.91176	8.30602	2.70457	2.9599	0	2.17671
Stk16	4.44335	15.3065	0	5.91201	1.74113	0
Tuba4a	34.7079	80.4377	4.48189	48.9845	7.17498	0.648054
Gm15179	0	0	4.57275	0	80.2072	8.2039
Des	4.92487	7.2404	45.9218	4.65912	0	69.6051
Dnpep	19.9061	0.0131486	0.0988496	38.0296	1.03869	0.992937
Asic4	0	52.3581	11.011	0	13.2504	0
Gmppa	10.5187	3.63155	0.488873	0.844989	34.9852	32.3475
Speg	2.25524	21.04	1.17556	12.3412	0.41585	0.25447
Tmem198	0.265656	0.941376	32.3557	0.111576	0.290223	10.2293
Inha	0.335331	0.612423	1.55878	6.12675	0.593374	0
Chpf	4.13635	22.3217	0.386197	1.82914	259.613	7.12048
Obsl1	2.35641	5.52753	4.1523	0.175355	0.454525	0.720486
Stk11ip	3.97322	2.44537	3.23179	4.16128	3.68637	0
Gm17751	0	0	0	1.04449	10.6857	0.207243
Slc4a3	1.4371	10.0828	0.853894	0	0	2.86028
Epha4	1.35334	0.110245	2.40005	1.98788	0.0288932	0.0395982
Pax3	0.0331198	1.76054	0.152244	0.116632	0.193333	0.264631
Sgpp2	0.055356	0.0202837	0.190794	0.0697323	7.38637	7.50804
Mogat1	0.105541	0	0	0	0.273107	0
Farsb	69.4227	0.227771	51.8739	56.7453	64.5606	62.5706
Kcne4	0.232825	66.6545	0	0	0	0.222914
Scg2	0.046114	0.0281971	0	0	0.283759	0.110374
Ap1s3	6.53076	3.35851	2.08022	1.24149	0.960058	0.705884
Mrpl44	14.9704	6.72452	0	12.531	18.9401	20.8773
Wdfy1	16.432	10.6695	19.1369	21.8939	11.417	13.6043
Fam124b	0.0395499	9.34396	11.0168	0	0.0689358	0
